##########
# 2016-11-18 11:01:54.803009058 +0100 CET Data Acquisition
# Acquisition name: 0x00
# Acquisition num: 1
# Accelerometer full scale: 2 (16384.000000)
# Gyroscope full scale: 250 (131.000000)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
0;1753;-0.115234;-0.051270;-0.936768;-53.832061;49.061069;-6.541985
1;3500;-0.104492;-0.029297;-1.002197;-52.412214;48.244275;-3.923664
2;5661;-0.104980;-0.022949;-1.010742;-45.717557;43.061069;-0.847328
3;7403;-0.109863;-0.019531;-1.001953;-44.908397;43.603053;0.374046
4;9524;-0.110107;-0.000977;-0.983154;-46.610687;44.549618;-2.480916
5;11270;-0.109131;-0.000488;-0.989502;-46.427481;43.908397;-5.007634
6;13288;-0.104248;-0.010254;-0.988770;-45.847328;43.458015;-5.755725
7;15031;-0.102783;0.000488;-1.008301;-42.381679;39.694656;-6.671756
8;17035;-0.099121;-0.001709;-1.009766;-37.343511;34.931298;-7.679389
9;18769;-0.101074;0.001465;-1.007324;-34.580153;31.893130;-9.076336
10;20830;-0.100830;0.009521;-1.009033;-31.633588;28.496183;-11.244275
11;22603;-0.102539;0.001221;-0.999023;-30.450382;26.961832;-12.816794
12;24635;-0.104248;-0.002930;-0.989258;-31.145038;27.061069;-14.129771
13;26373;-0.107422;-0.004150;-1.000000;-30.938931;27.305344;-14.877863
14;28459;-0.106201;-0.008057;-0.989014;-30.893130;27.679389;-14.687023
15;30196;-0.098877;-0.003906;-0.995605;-32.641221;29.106870;-15.236641
16;32590;-0.108643;-0.008057;-0.978760;-35.145038;31.358779;-14.221374
17;34329;-0.115723;-0.010254;-0.981934;-34.946565;31.992366;-11.870229
18;36399;-0.096680;-0.008301;-0.979980;-34.625954;32.190840;-11.328244
19;38133;-0.083008;-0.000244;-0.984375;-34.366412;32.061069;-11.595420
20;40299;-0.091064;-0.001221;-0.985596;-33.183206;31.038168;-10.145038
21;42057;-0.090088;-0.003662;-0.992920;-31.213740;29.938931;-8.954198
22;44072;-0.098633;-0.002441;-1.005859;-28.709924;27.297710;-6.992366
23;45811;-0.072021;-0.001709;-0.996582;-26.259542;25.053435;-4.465649
24;47933;-0.102295;0.010986;-1.041992;-16.244275;15.885496;-3.061069
25;49672;-0.059326;-0.008057;-1.027100;-8.534351;9.206107;2.389313
26;51684;-0.098633;0.019775;-1.007812;-6.427481;7.106870;2.221374
27;53427;-0.101318;0.027832;-0.993896;-8.465649;8.458015;-2.725191
28;55447;-0.101074;0.013672;-0.964355;-18.839695;16.969466;-7.083969
29;57185;-0.104248;0.025146;-0.942627;-30.251908;25.778626;-14.358779
30;59249;-0.086670;0.035645;-0.956055;-38.824427;32.267176;-20.496183
31;61135;-0.088379;0.012451;-1.011963;-34.305344;29.312977;-20.160305
32;63165;-0.065186;-0.031006;-1.140137;4.740458;-4.305344;-15.343511
33;64910;-0.068604;0.021973;-0.988037;7.167939;-6.282443;-8.137405
34;67055;-0.064697;0.003174;-0.964111;-2.450382;2.267176;-4.541985
35;68794;-0.068604;-0.007812;-0.997559;-0.305344;0.549618;-5.687023
36;70808;-0.060059;0.011475;-1.001953;2.564885;-2.351145;-6.580153
37;72941;-0.084961;0.020020;-0.994385;2.335878;-1.633588;-6.580153
38;74686;-0.102539;0.018555;-0.987793;1.259542;-0.862595;-5.595420
39;76748;-0.120117;0.012695;-0.982910;-0.442748;0.992366;-3.427481
40;78506;-0.122314;0.015137;-0.984619;-0.381679;1.053435;-0.916031
41;80550;-0.090820;0.012451;-0.993408;0.633588;0.358779;-0.755725
42;82293;-0.090088;0.011230;-0.994141;-0.076336;0.526718;-1.221374
43;84314;-0.091553;0.006104;-0.990479;-0.175573;0.442748;-1.541985
44;86049;-0.086914;0.011230;-0.985596;-0.137405;0.557252;-1.908397
45;88216;-0.078125;0.019775;-0.997314;0.725191;-0.229008;-1.290076
46;89959;-0.079834;0.017822;-0.997559;1.793893;-0.893130;-0.419847
47;91966;-0.089844;0.010010;-0.989258;1.847328;-1.053435;-1.358779
48;93724;-0.100098;0.002686;-0.988525;1.717557;-0.969466;-2.106870
49;95879;-0.097168;0.006836;-0.980469;0.450382;0.122137;-2.946565
50;97628;-0.074707;0.017578;-0.996338;1.328244;-0.641221;-3.183206
51;99695;-0.062012;0.021240;-0.993652;2.603053;-1.664122;-0.847328
52;101434;-0.076660;0.015137;-0.990479;2.641221;-1.992366;-0.381679
53;103597;-0.083740;0.012939;-0.991455;2.335878;-1.274809;-0.763359
54;105341;-0.083740;0.011719;-0.991455;1.419847;-0.335878;-0.572519
55;107446;-0.079834;0.013428;-0.994629;1.854962;-1.053435;-0.526718
56;109182;-0.079834;0.011963;-0.992188;1.893130;-0.969466;-0.351145
57;111205;-0.083740;0.010254;-0.991943;1.190840;-0.129771;-0.564885
58;112953;-0.080811;0.007812;-0.989990;0.229008;0.648855;-0.633588
59;115042;-0.081543;0.012207;-0.996338;0.587786;0.106870;-0.946565
60;116778;-0.090088;0.006592;-0.991699;-0.137405;0.786260;-0.824427
61;118799;-0.100098;-0.002686;-0.990967;-1.068702;1.725191;-2.664122
62;120544;-0.091309;0.005615;-0.992676;-2.267176;2.526718;-3.977099
63;122571;-0.075439;0.018066;-0.993896;-1.854962;2.381679;-4.183206
64;124313;-0.072998;0.023193;-0.992432;-1.000000;1.732824;-3.167939
65;126459;-0.066162;0.022705;-0.992920;-0.236641;1.000000;-1.572519
66;128206;-0.069580;0.020264;-0.996094;0.129771;0.694656;-0.854962
67;130276;-0.069580;0.019287;-0.992920;0.297710;0.450382;-0.458015
68;132086;-0.073975;0.017334;-0.986084;0.770992;0.274809;-0.427481
69;134157;-0.078857;0.015137;-0.993408;0.435115;0.312977;-0.503817
70;135932;-0.074707;0.017578;-0.998047;0.381679;0.427481;-0.641221
71;137941;-0.078125;0.013916;-0.995117;0.480916;0.114504;-0.839695
72;139687;-0.076904;0.018555;-0.997559;0.557252;0.068702;-0.748092
73;141689;-0.081543;0.019287;-0.994141;0.458015;0.374046;-0.229008
74;143432;-0.080078;0.018555;-0.992676;0.702290;0.076336;-0.595420
75;145558;-0.079346;0.017822;-0.992432;0.603053;0.061069;-0.549618
76;147295;-0.079834;0.018311;-0.989258;0.725191;0.106870;-0.687023
77;149300;-0.079102;0.016602;-0.995605;1.015267;-0.236641;-0.412214
78;151062;-0.077637;0.021729;-0.988525;0.938931;-0.290076;-0.358779
79;153137;-0.076660;0.019531;-0.995361;1.610687;-0.656489;-0.412214
80;154885;-0.068848;0.023193;-0.993896;2.259542;-1.282443;0.977099
81;156892;-0.076660;0.021729;-0.989990;1.664122;-0.954198;1.687023
82;158637;-0.081543;0.018555;-0.994873;1.374046;-0.740458;1.671756
83;160709;-0.092773;0.011475;-0.996338;1.740458;-0.801527;1.198473
84;162608;-0.098633;0.008301;-0.985352;1.061069;-0.412214;0.053435
85;164735;-0.094482;0.006104;-0.995117;0.030534;0.778626;-0.335878
86;166505;-0.084961;0.015869;-0.997070;1.083969;-0.526718;-0.564885
87;168517;-0.084717;0.013672;-0.992676;0.725191;-0.587786;-0.549618
88;170269;-0.085693;0.014648;-0.992188;0.938931;-0.404580;-0.435115
89;172322;-0.082764;0.013184;-0.990234;1.618321;-0.709924;-0.099237
90;174088;-0.084717;0.014648;-0.990479;1.595420;-0.832061;0.603053
91;176217;-0.089844;0.013184;-0.991699;1.625954;-0.755725;0.396947
92;181243;-0.096924;0.007812;-0.997314;1.015267;-0.221374;-0.274809
93;184328;-0.087158;0.009277;-0.993896;1.236641;-0.679389;-0.122137
94;186284;-0.089111;0.012451;-0.995361;1.091603;-0.335878;-0.137405
95;188620;-0.089355;0.006104;-0.991699;1.152672;-0.412214;-0.213740
96;190529;-0.090088;0.006104;-0.992432;1.297710;-0.297710;-0.503817
97;192763;-0.084717;0.009033;-0.996338;1.076336;-0.893130;-0.572519
98;195117;-0.085205;0.011963;-0.998779;2.931298;-1.938931;-0.190840
99;197021;-0.089355;0.010254;-0.994873;3.045802;-2.076336;-0.580153
100;199217;-0.087891;0.010742;-0.995605;4.267176;-3.038168;-0.641221
101;200964;-0.081787;0.018799;-1.001953;6.740458;-5.206107;-0.251908
102;203102;-0.070312;0.017090;-1.000000;8.862595;-6.900763;0.984733
103;204850;-0.073730;0.021973;-1.003662;9.679389;-7.969466;2.274809
104;206929;-0.093018;0.006348;-0.998535;10.366412;-8.633588;2.038168
105;208677;-0.092285;0.004883;-0.983398;9.282443;-7.648855;1.267176
106;210684;-0.089355;0.005615;-0.987061;7.740458;-6.328244;1.053435
107;212422;-0.088867;0.006104;-0.990479;7.595420;-6.465649;0.877863
108;214480;-0.086914;0.007812;-0.985840;7.152672;-5.954198;1.297710
109;216233;-0.074951;0.011963;-0.983887;6.938931;-5.442748;2.488550
110;218311;-0.062988;0.020264;-0.986816;6.832061;-5.534351;4.832061
111;220048;-0.068115;0.017334;-0.988770;6.343511;-4.801527;6.770992
112;222048;-0.075928;0.012695;-0.989502;5.328244;-3.969466;7.389313
113;223844;-0.100098;0.000000;-0.988037;3.946565;-3.167939;6.664122
114;226013;-0.109375;-0.000977;-0.986084;4.740458;-3.458015;4.083969
115;227757;-0.112793;-0.005127;-0.997803;6.549618;-5.358779;1.488550
116;229775;-0.102051;0.000732;-1.000244;7.167939;-6.305344;-0.854962
117;231522;-0.084229;0.008301;-0.994873;8.396947;-7.664122;-1.358779
118;233543;-0.080078;0.015137;-0.993408;9.908397;-8.954198;-0.687023
119;235288;-0.081543;0.012207;-0.998535;10.541985;-9.389313;-0.572519
120;237355;-0.079834;0.019531;-0.988037;9.694656;-8.816794;0.122137
121;239098;-0.078125;0.016602;-0.988281;8.847328;-7.893130;1.114504
122;241124;-0.088867;0.009033;-0.986572;8.007634;-6.732824;0.732824
123;242861;-0.101074;-0.000732;-0.982666;6.305344;-5.061069;0.030534
124;245061;-0.097168;0.003662;-0.976318;2.732824;-1.984733;-0.221374
125;246808;-0.097656;0.001709;-0.978760;0.992366;-0.198473;-0.267176
126;248823;-0.096436;0.006592;-0.980713;-1.435115;2.496183;-0.389313
127;250560;-0.091064;0.008301;-0.981201;-3.099237;3.916031;-0.213740
128;252589;-0.089844;0.014893;-0.985596;-2.877863;3.816794;-0.167939
129;254376;-0.089355;0.012939;-0.988770;-2.473282;3.137405;-0.206107
130;256529;-0.079590;0.009277;-0.988525;-2.526718;3.007634;0.343511
131;258269;-0.082275;0.008057;-0.984863;-3.450382;4.190840;0.725191
132;260275;-0.090576;0.006348;-0.979492;-5.267176;6.030534;0.725191
133;262018;-0.094238;0.004150;-0.981689;-7.061069;7.328244;0.442748
134;264211;-0.093750;0.008789;-0.988037;-7.786260;8.244275;-0.351145
135;265956;-0.084717;0.010498;-0.996094;-7.274809;7.748092;-0.061069
136;267967;-0.080322;0.011475;-1.004150;-4.717557;5.290076;-0.221374
137;269703;-0.084717;0.012451;-1.000244;-2.549618;3.198473;-0.503817
138;271709;-0.087646;0.015137;-0.998535;-1.114504;2.145038;-0.458015
139;273456;-0.087158;0.011230;-0.994141;-0.312977;1.290076;-0.778626
140;275539;-0.087646;0.011719;-0.988770;-0.832061;1.580153;-0.274809
141;277277;-0.089844;0.010498;-0.985352;-1.595420;2.389313;-0.351145
142;279295;-0.088379;0.006592;-0.979736;-3.496183;3.992366;-0.450382
143;281058;-0.086670;0.008057;-0.982178;-4.938931;5.374046;-0.267176
144;283146;-0.086914;0.007812;-0.982422;-5.786260;6.404580;-0.152672
145;284870;-0.088867;0.007812;-0.984863;-6.885496;7.580153;0.335878
146;286920;-0.083496;0.006836;-0.987793;-7.938931;8.580153;0.053435
147;288643;-0.080322;0.012939;-0.988037;-8.694656;8.404580;0.488550
148;290626;-0.073242;0.011719;-0.994385;-8.213740;8.557252;1.404580
149;292363;-0.070068;0.014893;-0.995850;-7.557252;8.053435;2.404580
150;294504;-0.074463;0.015625;-0.989502;-8.122137;7.679389;2.442748
151;296257;-0.086670;0.005859;-0.997559;-5.435115;5.702290;1.748092
152;298268;-0.100586;0.015869;-1.011475;-0.709924;1.473282;0.038168
153;300006;-0.092041;0.013916;-1.005615;2.221374;-1.091603;-1.076336
154;302099;-0.079102;0.018311;-1.009277;5.916031;-4.862595;-0.870229
155;303849;-0.079834;0.016602;-1.007080;9.557252;-7.931298;-1.526718
156;305893;-0.083984;0.010742;-0.996338;10.984733;-9.587786;-1.251908
157;307631;-0.091064;0.006836;-0.987305;10.198473;-8.931298;-1.435115
158;309641;-0.086914;0.004150;-0.980225;8.427481;-7.618321;-1.259542
159;311390;-0.088135;0.007080;-0.978760;6.702290;-5.763359;-1.068702
160;313475;-0.089600;0.005859;-0.975342;4.190840;-3.328244;-0.580153
161;315221;-0.089111;0.007568;-0.978760;2.671756;-1.748092;-0.488550
162;317287;-0.088867;0.009521;-0.985840;1.091603;-0.564885;-0.587786
163;319030;-0.091309;0.008545;-0.984863;0.328244;0.221374;-0.610687
164;321151;-0.090576;0.009033;-0.993896;0.068702;0.633588;-0.374046
165;322887;-0.089111;0.010498;-0.992432;0.083969;0.961832;-0.541985
166;324901;-0.091309;0.010498;-0.986816;-0.549618;1.030534;-0.572519
167;326654;-0.088623;0.010010;-0.991211;-0.992366;1.633588;-0.427481
168;328672;-0.092529;0.007080;-0.988281;-1.320611;1.961832;-0.343511
169;330412;-0.089111;0.007812;-0.986572;-2.435115;3.015267;-0.282443
170;332491;-0.092285;0.010742;-0.980469;-3.641221;4.290076;-0.335878
171;334223;-0.088867;0.010010;-0.985596;-4.923664;5.236641;-0.015267
172;336334;-0.088867;0.006836;-0.988525;-5.877863;6.381679;-0.175573
173;338073;-0.090088;0.013184;-0.994873;-5.160305;5.755725;-0.190840
174;340174;-0.089111;0.014648;-0.988281;-4.374046;4.549618;-0.885496
175;341913;-0.084961;0.015381;-0.992920;-3.732824;4.083969;-1.091603
176;343948;-0.082764;0.015869;-0.995605;-3.000000;3.404580;-1.320611
