##########
# 2016-11-18 11:04:25.179270598 +0100 CET Data Acquisition
# Acquisition name: 0x08_
# Acquisition num: 2
# Accelerometer full scale: 2 (16384.000000)
# Gyroscope full scale: 250 (131.000000)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
0;1796;-0.109863;-0.023438;-0.983887;0.503817;0.305344;-0.496183
1;3550;-0.124512;-0.019043;-0.998535;0.312977;0.450382;-0.580153
2;5594;-0.121094;-0.028320;-0.992188;0.145038;0.396947;-0.488550
3;7361;-0.117188;-0.029297;-0.985352;0.458015;0.129771;-0.633588
4;9371;-0.109375;-0.022461;-0.983887;0.366412;0.091603;-0.557252
5;11106;-0.121582;-0.021484;-0.981445;0.458015;0.343511;-0.534351
6;13177;-0.122559;-0.020020;-0.987305;0.511450;-0.015267;-0.748092
7;14955;-0.115723;-0.021973;-0.990723;0.824427;0.091603;-0.572519
8;17039;-0.120605;-0.021973;-0.986328;0.847328;-0.267176;-0.541985
9;18776;-0.114258;-0.028809;-0.984863;0.610687;-0.167939;-0.511450
10;20827;-0.118164;-0.024902;-0.993164;1.083969;-0.114504;-0.381679
11;22562;-0.118164;-0.019043;-0.992188;1.198473;-0.503817;-0.549618
12;24646;-0.111816;-0.029785;-0.981934;1.091603;-0.221374;-0.671756
13;26381;-0.123047;-0.026367;-0.987305;1.061069;-0.145038;-0.526718
14;28377;-0.127441;-0.020996;-0.988770;1.221374;-0.244275;-0.717557
15;30118;-0.119629;-0.022949;-0.980957;1.045802;-0.396947;-0.511450
16;32196;-0.119629;-0.035645;-0.990723;1.068702;-0.473282;-0.488550
17;33931;-0.120117;-0.020996;-0.988281;0.977099;-0.488550;-0.496183
18;35924;-0.117188;-0.025391;-0.983887;0.977099;-0.259542;-0.656489
19;37662;-0.113770;-0.022949;-0.989258;1.022901;-0.175573;-0.603053
20;39830;-0.107422;-0.020996;-0.990723;1.053435;-0.328244;-0.366412
21;41562;-0.123535;-0.023438;-0.971680;0.938931;-0.274809;-0.541985
22;43560;-0.108398;-0.029785;-0.983398;1.091603;-0.366412;-0.564885
23;45350;-0.111816;-0.025879;-0.989258;1.099237;-0.152672;-0.534351
24;47461;-0.122559;-0.017578;-0.997559;1.022901;-0.198473;-0.519084
25;49214;-0.118164;-0.024902;-0.996582;1.076336;-0.206107;-0.343511
26;51273;-0.115234;-0.025391;-0.985840;0.854962;-0.320611;-0.717557
27;53010;-0.124512;-0.035645;-0.985840;0.435115;-0.137405;-0.572519
28;55004;-0.114258;-0.028320;-0.979004;1.190840;0.091603;-0.801527
29;56739;-0.120605;-0.029297;-0.981934;1.213740;0.198473;-0.465649
30;58815;-0.115234;-0.031738;-0.989258;0.679389;-0.068702;-0.526718
31;60547;-0.112793;-0.022461;-0.985840;0.847328;0.015267;-0.679389
32;62545;-0.113281;-0.017578;-0.982910;0.870229;0.129771;-0.587786
33;64434;-0.119629;-0.017090;-0.979004;0.648855;0.374046;-0.465649
34;66440;-0.107422;-0.024902;-1.002930;0.511450;0.007634;-0.465649
35;68177;-0.115234;-0.027832;-0.994629;0.496183;-0.022901;-0.732824
36;70245;-0.116699;-0.031738;-0.985840;0.274809;0.137405;-0.587786
37;71982;-0.108398;-0.022461;-1.000977;0.748092;0.229008;-0.503817
38;73977;-0.121094;-0.027832;-1.000488;0.488550;0.229008;-0.458015
39;75761;-0.117676;-0.026855;-1.000977;0.442748;0.221374;-0.404580
40;77924;-0.116699;-0.020020;-0.984375;0.610687;0.244275;-0.534351
41;79701;-0.122559;-0.029785;-1.002930;0.625954;0.213740;-0.671756
42;81704;-0.125977;-0.024414;-1.000488;0.526718;0.374046;-0.656489
43;83442;-0.120117;-0.018555;-0.992676;0.374046;0.366412;-0.557252
44;85435;-0.116211;-0.024414;-0.986816;0.358779;0.053435;-0.427481
