num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;1.008301;-0.004883;0.000000;1.097561;0.000000;-1.036585;0
2;1691;1.000000;-0.000977;-0.008789;1.097561;0.091463;-1.189024;0
3;3386;1.004883;0.004395;0.000000;1.158537;0.152439;-0.975610;0
4;5080;1.010742;-0.002441;-0.002930;1.097561;0.030488;-0.945122;0
5;6769;1.010742;-0.002441;-0.001465;1.128049;0.182927;-1.036585;0
6;8461;1.009766;-0.006836;-0.001465;1.310976;0.213415;-0.823171;0
7;10161;1.008789;-0.011230;-0.001465;1.158537;0.152439;-0.884146;0
8;11867;1.008301;0.005859;-0.007324;0.975610;-0.030488;-1.128049;0
9;13565;1.008301;-0.003418;-0.005371;0.853659;0.091463;-0.975610;0
10;15263;1.007812;-0.000977;-0.012695;0.945122;0.121951;-0.853659;0
11;16954;1.005371;0.003418;-0.007324;1.128049;0.060976;-1.128049;0
12;18645;1.013184;0.000488;0.003418;0.914634;-0.060976;-1.036585;0
13;20340;1.007812;-0.006348;0.013184;0.853659;-0.121951;-0.792683;0
14;22031;1.015137;-0.001953;-0.002930;1.067073;0.152439;-0.945122;0
15;23723;1.007324;-0.003906;-0.001953;1.097561;0.091463;-1.006098;0
16;25502;1.016602;0.003418;-0.008789;0.884146;0.091463;-0.945122;0
17;27221;1.011719;0.000488;-0.014648;1.219512;-0.030488;-0.762195;0
18;28918;1.009766;-0.005859;-0.009277;1.006098;0.030488;-0.914634;0
19;30612;1.006836;-0.003418;-0.012695;0.914634;0.091463;-1.097561;0
20;32305;1.014648;-0.000488;0.009277;1.036585;0.060976;-1.006098;0
21;33998;1.013184;-0.008789;0.000977;0.975610;0.365854;-1.067073;0
22;35691;1.018555;-0.003418;-0.011230;1.219512;0.182927;-0.853659;0
23;37393;1.011719;-0.005859;-0.008789;1.097561;0.060976;-0.945122;0
24;39109;1.006836;-0.000977;0.000000;1.006098;0.213415;-0.945122;0
25;40817;1.004883;-0.006348;-0.000488;0.884146;0.060976;-1.097561;0
26;42528;1.015625;-0.006348;-0.001953;1.250000;0.121951;-1.097561;0
27;44228;1.011230;0.007324;0.009277;1.036585;0.152439;-1.128049;0
28;45921;1.006836;-0.001465;-0.003906;0.884146;0.182927;-0.792683;0
29;47616;1.003906;-0.005859;0.003906;1.250000;0.091463;-0.914634;0
30;49316;1.005371;0.002930;-0.000977;1.158537;0.091463;-0.914634;0
31;51006;1.003906;-0.000488;-0.003906;1.158537;0.274390;-1.067073;0
32;52699;1.008301;-0.001465;-0.002930;0.914634;0.030488;-1.067073;0
33;54391;1.015625;-0.005371;-0.019043;0.945122;0.000000;-0.975610;0
34;56081;1.009766;-0.005859;0.001465;1.067073;-0.060976;-0.853659;0
35;57776;1.003906;-0.001953;0.001953;1.189024;0.121951;-1.097561;0
36;59469;1.006836;0.000488;0.000977;1.219512;0.121951;-1.158537;0
37;61160;1.010254;-0.011230;0.012207;1.158537;-0.030488;-1.067073;0
38;62851;1.017090;-0.008301;-0.005859;1.036585;0.243902;-0.975610;0
39;64542;1.008789;-0.000977;0.007812;0.975610;0.060976;-0.853659;0
40;66233;1.003418;0.004883;0.002441;1.158537;0.152439;-0.914634;0
41;67923;1.014160;-0.003418;-0.000488;1.219512;0.030488;-0.914634;0
42;69619;1.006348;-0.002930;-0.005371;1.158537;-0.030488;-1.067073;0
43;71312;1.017578;0.001953;0.000977;1.036585;0.365854;-1.067073;0
44;73003;1.006836;-0.003906;0.005859;1.036585;0.091463;-0.975610;0
45;74696;1.013184;0.000000;-0.012207;1.128049;0.060976;-0.914634;0
46;76433;1.015625;-0.002930;-0.011719;1.036585;0.060976;-1.067073;0
