num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;1.010254;0.012695;0.000977;0.975610;0.182927;-0.731707;0
2;1698;1.000000;0.007812;0.005859;0.762195;0.121951;-0.823171;0
3;3389;1.009766;0.007812;-0.000977;0.975610;0.152439;-0.975610;0
4;5087;1.019043;0.007324;-0.002441;1.189024;0.000000;-0.884146;0
5;6781;1.020508;0.005859;0.004883;0.884146;0.000000;-1.067073;0
6;8475;1.007812;0.003418;0.001953;1.006098;0.091463;-1.128049;0
7;10167;1.004395;0.000977;0.011230;1.006098;0.304878;-0.975610;0
8;11858;1.013184;0.006836;0.006836;1.006098;0.030488;-0.975610;0
9;13549;1.002930;0.009277;0.011230;1.158537;-0.182927;-1.189024;0
10;15240;1.008301;-0.000488;0.004395;1.036585;-0.030488;-1.128049;0
11;16933;1.008301;0.001465;0.013184;0.945122;0.213415;-1.189024;0
12;18631;1.013184;0.016602;0.009766;1.006098;0.060976;-1.280488;0
13;20323;1.007324;0.006348;0.000977;0.853659;-0.030488;-0.884146;0
14;22018;1.013184;0.007812;-0.001953;0.975610;0.152439;-0.762195;0
15;23713;1.002441;0.005859;0.003906;1.036585;-0.030488;-0.640244;0
16;25409;1.010742;0.005859;0.011230;0.914634;-0.030488;-0.884146;0
17;27114;1.009277;0.002441;0.003906;0.792683;0.030488;-1.036585;0
18;28809;1.013184;0.012207;0.014648;1.128049;0.182927;-0.792683;0
19;30504;1.006348;0.000000;0.000977;1.310976;-0.030488;-1.036585;0
20;32199;1.014648;0.007812;0.021973;0.884146;-0.091463;-0.823171;0
21;33894;1.007324;-0.000488;0.003906;0.884146;0.274390;-1.067073;0
22;35585;1.013672;0.005859;0.018555;0.945122;0.060976;-0.701220;0
23;37286;1.013672;0.000977;0.002441;1.036585;-0.091463;-1.067073;0
24;38983;1.006836;0.000977;-0.001465;1.128049;-0.030488;-0.823171;0
25;40678;1.011719;0.008789;0.015625;1.280488;0.152439;-0.884146;0
26;42371;1.007812;0.002930;0.002930;0.914634;0.000000;-1.128049;0
27;44064;1.007812;0.004883;-0.008789;0.975610;0.182927;-0.823171;0
28;45756;1.013672;0.006348;0.002930;0.914634;-0.121951;-0.884146;0
29;47456;1.008301;-0.000488;0.011230;0.975610;0.274390;-1.189024;0
30;49168;1.007812;0.006836;0.009766;0.823171;-0.182927;-0.975610;0
31;50867;1.006348;0.002930;0.009277;0.823171;-0.121951;-0.884146;0
32;52563;1.009766;0.005859;0.009277;1.036585;0.274390;-1.128049;0
33;54257;1.005859;0.012207;0.001465;1.219512;0.060976;-1.128049;0
34;55953;1.015137;0.008301;0.009277;1.189024;-0.243902;-0.823171;0
35;57648;1.015137;0.008789;0.009277;1.158537;0.030488;-1.006098;0
36;59342;1.017090;0.008789;0.007812;0.792683;0.152439;-0.914634;0
37;61041;1.003418;0.008789;0.005371;0.792683;0.030488;-0.884146;0
38;62743;1.010742;0.001953;0.004883;1.036585;0.091463;-0.975610;0
39;64449;1.009766;0.010742;-0.002441;1.036585;-0.091463;-0.945122;0
40;66149;0.999512;0.004883;0.018555;0.975610;0.060976;-0.670732;0
41;67846;1.009277;-0.000977;0.010254;0.975610;-0.030488;-0.945122;0
42;69538;1.014160;0.005859;0.017578;0.975610;0.000000;-0.914634;0
43;71230;1.013184;-0.000977;0.007324;1.219512;0.152439;-1.067073;0
44;72936;1.005371;0.006348;0.003418;0.975610;0.091463;-0.884146;0
45;74644;1.006836;0.000488;0.013184;0.945122;-0.030488;-0.823171;0
46;76346;1.008301;-0.000977;0.003906;0.914634;0.000000;-1.036585;0
47;78048;1.010742;0.001465;0.001465;1.128049;0.121951;-1.006098;0
48;79741;1.011719;0.007324;0.009277;0.945122;0.182927;-0.914634;0
49;81432;1.010742;0.009277;0.014160;1.006098;-0.121951;-0.823171;0
50;83119;1.005859;0.006836;0.013184;1.006098;0.182927;-0.945122;0
51;84807;1.007812;0.002930;0.004883;0.914634;0.030488;-0.853659;0
52;86507;1.019531;0.003418;0.004883;0.945122;-0.121951;-1.067073;0
53;88202;1.009277;0.008301;0.009766;0.914634;0.121951;-1.097561;0
54;89902;1.007812;0.004883;0.014648;0.914634;0.030488;-0.701220;0
55;91600;1.012695;0.005859;0.011230;1.036585;0.121951;-1.006098;0
56;93297;1.009766;0.001465;0.005371;1.219512;0.060976;-0.975610;0
57;94992;1.008789;0.004883;-0.005371;1.036585;-0.274390;-1.097561;0
58;96684;1.012695;0.004395;0.009277;1.189024;0.030488;-1.158537;0
59;98385;1.014160;0.013672;0.009277;1.067073;0.030488;-0.853659;0
60;100080;1.011719;0.002441;0.005859;0.945122;0.243902;-0.670732;0
61;101771;1.005859;0.006836;-0.001953;0.945122;0.121951;-0.823171;0
62;103465;1.008789;-0.000977;0.000000;1.280488;-0.060976;-1.158537;0
63;105160;1.001953;0.003418;0.003418;1.036585;0.030488;-1.158537;0
64;106858;1.007812;0.000977;-0.002930;0.975610;-0.213415;-1.189024;0
65;108564;1.011719;0.002441;-0.001953;1.310976;0.060976;-0.884146;0
66;110256;1.011230;0.010254;0.012207;0.975610;0.030488;-0.884146;0
67;111949;1.006836;0.008301;0.003906;1.128049;-0.182927;-0.945122;0
68;113644;1.007324;-0.000488;0.012695;1.189024;0.274390;-0.914634;0
69;115338;1.020020;0.001953;0.003906;1.128049;0.152439;-1.036585;0
70;117032;1.011230;0.006836;0.009277;1.067073;-0.030488;-0.579268;0
71;118724;1.016113;0.003418;0.006348;1.067073;-0.091463;-0.853659;0
72;120416;1.009766;0.000000;0.011719;0.975610;0.121951;-0.823171;0
73;122108;1.011719;0.005859;0.011719;1.158537;0.182927;-0.884146;0
74;123802;1.006348;0.000488;0.007812;1.219512;0.213415;-0.945122;0
75;125494;1.015625;0.007324;0.005371;1.036585;0.030488;-1.006098;0
76;127197;1.002441;0.004883;0.006348;1.128049;-0.274390;-0.762195;0
77;128895;1.019043;0.007324;0.012207;0.853659;-0.030488;-1.006098;0
78;130585;0.983887;0.011719;-0.006348;0.975610;0.243902;-0.945122;0
79;132279;0.742676;-0.006348;-0.072266;0.884146;2.987805;-0.182927;0
80;133969;0.286621;-0.043945;-0.124512;1.737805;9.359756;-1.981707;0
81;135662;0.056641;-0.047363;-0.181641;3.140244;14.847561;-6.250000;0
82;137357;-0.040039;0.069336;0.118164;5.518293;12.530488;-17.560976;0
83;139048;0.626465;0.304688;-0.862305;2.500000;25.182927;-17.804878;0
84;140744;1.362793;-0.472656;0.100098;4.634146;-15.487805;-38.689024;0
85;142437;1.687012;0.027344;0.702637;16.006098;-21.036585;-19.298780;0
