num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;1.008301;0.011230;-0.023438;0.975610;0.274390;-0.579268;0
2;1686;1.007812;0.013184;-0.011719;0.914634;0.121951;-0.884146;0
3;3372;1.004395;0.007812;-0.013184;1.189024;0.000000;-0.975610;0
4;5057;1.007324;0.011719;-0.014648;1.371951;0.060976;-0.914634;0
5;6742;1.005371;0.017578;-0.016602;1.006098;0.182927;-0.609756;0
6;8430;1.001953;0.012207;-0.027832;0.670732;0.182927;-1.006098;0
7;10114;1.007812;0.008789;-0.003906;0.823171;-0.182927;-1.006098;0
8;11799;1.006348;0.013672;-0.031738;0.670732;0.060976;-1.036585;0
9;13483;1.011230;0.007324;-0.020020;0.884146;0.152439;-0.945122;0
10;15167;1.008301;0.014160;-0.024414;0.914634;0.121951;-0.884146;0
11;16855;1.014160;0.004395;-0.010742;1.128049;0.213415;-0.914634;0
12;18544;1.009766;0.009277;-0.029297;0.640244;-0.030488;-0.731707;0
13;20232;1.005371;0.017578;-0.027344;0.914634;-0.121951;-1.036585;0
14;21917;1.017090;0.012695;-0.003906;1.067073;-0.091463;-0.823171;0
15;23602;1.005859;0.014160;-0.013672;0.945122;0.060976;-0.975610;0
16;25290;0.999512;0.003418;-0.029297;0.884146;-0.060976;-1.189024;0
17;26976;1.010742;0.009766;-0.026367;0.884146;0.091463;-0.975610;0
18;28663;1.010742;0.017578;-0.014160;1.036585;0.182927;-0.884146;0
19;30348;0.999512;0.016113;-0.013672;1.036585;0.060976;-0.884146;0
20;32034;1.006348;0.016602;-0.008301;1.067073;0.060976;-1.128049;0
21;33723;1.010254;0.016113;-0.020996;0.945122;0.060976;-1.189024;0
22;35408;1.000488;0.016602;-0.011230;1.006098;0.121951;-0.640244;0
23;37094;1.007812;0.015625;-0.030762;0.975610;0.000000;-0.762195;0
24;38780;1.005371;0.013672;-0.011230;1.036585;0.030488;-0.762195;0
25;40465;1.014160;0.010254;-0.016113;0.914634;0.000000;-0.823171;0
26;42151;1.005859;0.011719;-0.016113;0.884146;-0.030488;-0.853659;0
27;43837;1.005371;0.008301;-0.017090;1.097561;0.121951;-0.670732;0
28;45522;1.008789;0.013672;-0.027832;1.128049;0.182927;-0.792683;0
29;47207;1.008789;0.005859;-0.030273;1.006098;-0.091463;-0.792683;0
30;48893;1.007812;0.019043;-0.017578;0.975610;0.182927;-0.914634;0
31;50580;1.007324;0.000977;-0.022949;0.853659;0.121951;-1.036585;0
32;52266;1.017090;0.000488;-0.013184;1.006098;-0.243902;-1.036585;0
33;53952;1.013184;0.018066;-0.028809;1.006098;-0.091463;-0.579268;0
34;55637;1.007812;0.009277;-0.020508;0.914634;-0.121951;-1.067073;0
35;57321;1.003906;0.014648;-0.022949;0.731707;0.243902;-0.884146;0
36;59009;1.005859;0.014648;-0.024902;0.762195;0.274390;-0.792683;0
37;60695;1.003418;0.017578;-0.012695;1.006098;0.304878;-0.762195;0
38;62380;1.011719;0.021973;-0.020996;0.823171;0.213415;-0.853659;0
39;64066;1.001953;0.014160;-0.021484;0.853659;0.304878;-0.945122;0
40;65750;1.006348;0.018066;-0.018066;0.975610;0.000000;-0.975610;0
41;67437;1.013184;0.006836;-0.009277;0.975610;-0.030488;-0.914634;0
42;69125;1.004395;0.013184;-0.022461;0.792683;0.030488;-0.884146;0
43;70810;1.009277;0.005859;-0.026855;1.097561;0.091463;-0.792683;0
44;72496;1.020508;0.005859;-0.029297;1.067073;0.152439;-0.975610;0
45;74181;1.005371;0.015625;-0.025391;0.945122;0.060976;-0.762195;0
46;75868;1.009766;0.010254;-0.018066;0.884146;-0.121951;-0.884146;0
47;77554;1.009766;0.013184;-0.018555;0.945122;0.152439;-0.975610;0
48;79251;1.006836;0.011719;-0.015625;0.731707;0.030488;-0.762195;0
49;80935;1.009277;0.016602;-0.017578;1.006098;-0.152439;-0.762195;0
50;82619;1.012695;0.019531;-0.010742;1.128049;0.091463;-0.945122;0
51;84306;1.011230;0.010254;-0.024414;0.823171;-0.091463;-1.128049;0
52;85995;1.014648;0.010254;-0.024902;0.823171;0.152439;-1.067073;0
53;87689;1.011719;0.009277;-0.019043;1.036585;0.121951;-0.853659;0
54;89377;1.004395;0.019531;-0.017578;1.067073;-0.274390;-1.067073;0
55;91065;1.023926;0.008301;-0.011719;0.884146;0.000000;-0.914634;0
56;93344;1.011719;0.021484;-0.030273;0.884146;0.243902;-1.006098;0
57;95059;1.014160;0.012695;-0.012695;1.158537;0.213415;-0.884146;0
58;96772;1.009277;0.018066;-0.023926;1.036585;-0.182927;-1.036585;0
59;98485;1.009766;0.002441;-0.023438;0.914634;0.182927;-1.036585;0
60;100198;1.004395;0.010742;-0.016113;0.975610;0.060976;-0.884146;0
61;101897;1.008301;0.006836;-0.017578;0.853659;0.060976;-0.670732;0
62;103597;1.010254;0.010742;-0.024902;1.067073;0.060976;-0.945122;0
63;105294;1.005859;0.016113;-0.020996;0.945122;0.000000;-0.853659;0
64;106987;1.012695;0.010742;-0.017578;0.914634;0.121951;-0.823171;0
65;108682;1.009766;0.013672;-0.008789;1.097561;0.000000;-0.914634;0
66;110377;1.004883;0.004883;-0.014160;0.884146;0.182927;-0.945122;0
67;112069;1.004883;0.010742;-0.024414;0.945122;0.060976;-0.792683;0
68;113758;1.018555;0.013672;-0.013184;0.914634;0.182927;-0.853659;0
69;115453;1.014160;0.012207;-0.016113;0.792683;0.213415;-0.914634;0
