num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;1.004395;0.038574;-0.026367;0.975610;0.152439;-1.128049;0
2;1654;1.010254;0.043457;-0.012207;1.067073;0.121951;-0.792683;0
3;3315;1.004395;0.038574;-0.004883;1.219512;0.091463;-0.853659;0
4;4983;1.005371;0.037598;-0.024902;0.945122;0.060976;-0.853659;0
5;6643;0.999023;0.037598;-0.007812;1.006098;0.030488;-1.036585;0
6;8297;1.010254;0.032715;-0.028809;0.914634;0.000000;-1.067073;0
7;9956;1.004395;0.031738;-0.013672;0.823171;0.213415;-0.975610;0
8;11609;1.008789;0.031250;-0.008789;1.006098;0.121951;-0.945122;0
9;13262;1.009766;0.035645;-0.016602;1.006098;0.274390;-1.128049;0
10;14915;1.005859;0.029785;-0.006348;0.975610;0.060976;-0.792683;0
11;16572;1.011230;0.031738;-0.000977;1.006098;-0.091463;-0.792683;0
12;18226;1.010742;0.031250;-0.002930;0.975610;-0.060976;-1.128049;0
13;19882;1.010254;0.027344;-0.015137;0.823171;0.091463;-1.097561;0
14;21536;1.009277;0.042480;-0.002930;0.853659;0.000000;-1.067073;0
15;23191;1.010742;0.022949;0.001953;1.097561;0.121951;-0.670732;0
16;24965;1.009277;0.026367;-0.008301;0.945122;0.213415;-0.792683;0
17;26632;1.002930;0.031250;-0.010254;0.762195;0.030488;-0.823171;0
18;28317;1.006348;0.035156;-0.013672;0.853659;0.121951;-0.975610;0
19;29980;1.010254;0.030273;-0.021484;0.640244;0.060976;-1.036585;0
20;31635;1.006836;0.036621;-0.020996;0.792683;0.121951;-0.884146;0
21;33288;1.006348;0.035156;-0.007324;1.250000;0.213415;-0.884146;0
22;34944;1.017578;0.028809;-0.012207;1.067073;0.121951;-1.097561;0
23;36599;1.003418;0.031250;-0.011230;0.975610;0.152439;-0.914634;0
24;38252;1.007324;0.035645;-0.007812;0.609756;0.121951;-0.823171;0
25;39910;1.002930;0.037598;-0.020020;1.158537;0.274390;-0.853659;0
26;41569;0.996582;0.028809;-0.005859;0.884146;0.182927;-0.975610;0
27;43226;1.007324;0.038086;-0.016113;0.884146;-0.243902;-0.762195;0
28;44881;1.006348;0.045898;-0.008301;1.341463;-0.243902;-0.792683;0
29;46537;1.007324;0.028320;-0.000977;1.097561;0.030488;-1.097561;0
30;48192;1.009277;0.029785;-0.013672;0.945122;0.091463;-0.487805;0
31;49848;0.995117;0.032227;-0.008301;0.762195;0.121951;-0.853659;0
32;51507;1.007324;0.037598;-0.014160;0.975610;0.152439;-1.006098;0
33;53161;1.014160;0.033203;-0.016602;1.067073;-0.030488;-0.670732;0
34;54814;0.999512;0.028320;-0.013672;1.036585;-0.030488;-0.792683;0
35;56469;1.011230;0.032715;0.000977;1.006098;0.091463;-0.884146;0
36;58123;1.011230;0.028809;-0.006348;0.975610;-0.152439;-0.975610;0
37;59777;1.015137;0.035156;-0.017578;0.853659;-0.121951;-0.853659;0
38;61431;1.005859;0.023438;-0.007324;0.884146;-0.060976;-0.853659;0
39;63086;1.015137;0.034180;-0.012695;1.036585;0.274390;-0.975610;0
40;64739;1.007324;0.030762;-0.020508;0.914634;0.152439;-1.036585;0
41;66393;1.015625;0.026367;-0.021973;0.884146;0.243902;-0.792683;0
42;68046;1.006348;0.035156;-0.018555;1.189024;-0.030488;-0.792683;0
43;69700;1.007324;0.032715;-0.000977;0.975610;-0.030488;-1.067073;0
44;71356;1.001465;0.031738;-0.014648;0.914634;0.182927;-0.792683;0
45;73009;1.004395;0.021484;-0.008789;0.792683;-0.091463;-0.945122;0
46;74663;1.005371;0.032227;-0.014648;1.036585;0.060976;-0.823171;0
47;76318;1.008301;0.026367;-0.010254;0.762195;0.000000;-0.731707;0
48;77974;1.007812;0.031250;-0.019043;1.067073;0.060976;-0.823171;0
49;79633;1.006348;0.030762;-0.005859;1.128049;0.182927;-0.914634;0
50;81299;1.007812;0.030273;-0.020020;0.975610;0.121951;-0.975610;0
51;82968;1.009766;0.039551;-0.008789;0.914634;0.060976;-1.128049;0
52;84628;1.008789;0.030762;0.002930;0.945122;-0.030488;-1.036585;0
53;86285;1.012695;0.032227;-0.010254;0.792683;0.091463;-1.006098;0
54;87939;1.010254;0.026855;-0.007324;0.975610;0.000000;-0.975610;0
55;89593;1.009277;0.031250;-0.020508;1.219512;0.060976;-0.823171;0
56;91248;1.005859;0.029785;-0.006836;0.792683;0.121951;-1.006098;0
57;92904;1.013672;0.028320;-0.017090;0.914634;0.182927;-0.792683;0
58;94559;1.015625;0.029297;-0.018555;1.128049;0.000000;-0.853659;0
59;96215;1.008789;0.037109;-0.013672;1.097561;-0.091463;-1.128049;0
60;97869;1.009766;0.034180;-0.006836;0.762195;-0.091463;-1.158537;0
61;99522;1.005371;0.030273;-0.010254;1.006098;0.213415;-1.036585;0
62;101177;1.011230;0.031250;-0.011719;1.036585;0.060976;-0.945122;0
63;102834;1.012695;0.029297;-0.002441;1.189024;0.152439;-1.006098;0
64;104488;1.004883;0.035156;-0.007812;0.914634;0.304878;-0.792683;0
65;106146;1.010254;0.029785;-0.020020;1.006098;0.121951;-0.945122;0
66;107816;1.003906;0.036621;-0.014648;0.945122;0.091463;-0.945122;0
67;109477;1.008789;0.032715;-0.005371;0.914634;-0.060976;-1.036585;0
68;111131;1.010742;0.036133;-0.015137;0.914634;0.000000;-0.762195;0
69;112785;1.001465;0.030762;-0.004395;0.853659;-0.030488;-0.853659;0
70;114439;1.010742;0.036133;-0.021973;1.158537;0.152439;-0.945122;0
71;116096;1.005371;0.039551;-0.028320;1.189024;0.000000;-1.097561;0
72;117754;1.005371;0.030273;-0.021484;0.975610;0.121951;-0.914634;0
73;119409;1.004395;0.026855;-0.020020;1.067073;0.060976;-0.914634;0
74;121062;1.009277;0.033203;-0.013672;1.250000;-0.152439;-0.792683;0
75;122717;1.010254;0.032715;-0.011230;1.036585;0.121951;-0.853659;0
76;124370;1.008789;0.033203;0.000977;1.067073;0.121951;-1.128049;0
77;126027;1.010742;0.030273;-0.003906;1.097561;0.152439;-0.823171;0
78;127687;1.008789;0.022461;-0.017578;1.219512;0.030488;-0.670732;0
79;129350;1.012695;0.035645;-0.017090;0.853659;0.091463;-0.853659;0
80;131102;1.011719;0.030273;-0.011719;0.914634;-0.152439;-0.914634;0
81;132762;1.014648;0.035156;-0.008789;1.006098;0.304878;-0.853659;0
82;134423;1.007812;0.028320;-0.013184;0.914634;0.335366;-0.762195;0
83;136079;1.010742;0.041016;-0.014648;1.310976;-0.121951;-0.975610;0
84;137734;1.009277;0.027344;-0.013184;1.036585;-0.121951;-0.975610;0
85;139393;1.014648;0.035645;-0.005371;1.036585;0.182927;-1.006098;0
86;141048;1.006836;0.039551;-0.015625;0.792683;0.335366;-0.914634;0
87;142709;1.019043;0.033203;-0.022461;0.762195;0.182927;-0.792683;0
88;144377;1.014648;0.036133;-0.017578;1.128049;-0.030488;-0.945122;0
89;146037;1.006836;0.026855;-0.023438;0.914634;-0.121951;-0.884146;0
90;147696;1.003906;0.033691;-0.015625;0.670732;0.000000;-0.792683;0
91;149351;1.008301;0.030273;-0.007324;0.640244;-0.060976;-0.945122;0
92;151007;1.007324;0.040039;-0.006348;0.823171;-0.182927;-1.006098;0
93;152659;1.009277;0.035156;-0.010254;0.823171;0.121951;-0.731707;0
94;154313;1.007324;0.035156;-0.006836;0.914634;-0.091463;-1.036585;0
95;155969;1.011719;0.022949;-0.020508;0.914634;0.030488;-1.280488;0
96;157624;1.006836;0.035645;-0.024414;1.067073;0.060976;-1.097561;0
97;159279;1.005859;0.030762;-0.012207;0.792683;0.182927;-0.853659;0
98;160934;1.006836;0.039062;-0.014648;0.945122;-0.091463;-1.006098;0
99;162589;1.010742;0.041504;-0.007324;1.006098;-0.060976;-1.158537;0
100;164242;1.008301;0.038086;-0.019043;1.036585;0.274390;-1.067073;0
101;165896;0.998535;0.029297;-0.014160;0.914634;0.091463;-0.823171;0
102;167550;1.004395;0.032227;-0.007812;1.036585;-0.091463;-1.006098;0
103;169203;1.008301;0.038086;-0.008789;1.036585;0.182927;-0.701220;0
104;170861;1.007324;0.027344;-0.016602;1.006098;0.060976;-0.823171;0
105;172515;1.008301;0.033203;-0.030273;0.975610;0.152439;-0.884146;0
106;174167;1.001465;0.030762;-0.012207;1.189024;0.152439;-0.701220;0
107;175823;1.010254;0.031738;-0.006348;0.884146;0.152439;-0.945122;0
108;177479;1.007324;0.030762;-0.008301;0.914634;-0.060976;-1.006098;0
109;179132;1.006348;0.032715;-0.019043;1.067073;-0.091463;-0.762195;0
110;180792;1.010742;0.026367;-0.022461;1.158537;0.121951;-0.884146;0
111;182461;1.011230;0.027344;-0.007324;0.853659;0.152439;-0.884146;0
112;184134;1.006348;0.034180;-0.008301;1.250000;-0.091463;-0.792683;0
113;185801;1.003906;0.041504;-0.024902;1.006098;-0.030488;-0.701220;0
114;187461;1.003418;0.039062;-0.019043;0.792683;-0.030488;-0.884146;0
115;189116;1.006348;0.035156;-0.024414;0.914634;0.060976;-0.914634;0
116;190769;1.007812;0.036621;-0.024902;1.036585;0.304878;-1.006098;0
117;192424;1.006836;0.035645;-0.003418;1.310976;0.182927;-0.975610;0
118;194078;0.998535;0.040527;-0.020020;1.189024;0.091463;-1.006098;0
119;195732;1.006836;0.037598;-0.010742;0.975610;0.030488;-0.823171;0
120;197387;1.009766;0.030762;-0.006836;0.914634;0.182927;-1.036585;0
121;199041;1.008301;0.032227;-0.018555;0.945122;-0.091463;-1.128049;0
122;200696;1.013184;0.039551;-0.007812;0.762195;-0.030488;-1.006098;0
123;202352;1.005371;0.030273;-0.011230;1.097561;-0.030488;-1.158537;0
124;204004;1.005859;0.036621;-0.017578;0.762195;0.060976;-0.945122;0
125;205660;1.006836;0.042480;-0.015625;0.731707;0.121951;-0.945122;0
126;207314;1.012695;0.027832;-0.021484;0.853659;0.030488;-0.884146;0
127;208969;1.006836;0.029297;-0.017578;0.914634;0.091463;-0.884146;0
128;210625;1.017090;0.024414;-0.014648;0.975610;0.182927;-0.792683;0
129;212279;1.007324;0.032715;-0.026367;0.914634;-0.060976;-0.975610;0
130;213931;1.007324;0.035645;-0.012207;1.097561;0.000000;-1.128049;0
131;215593;1.006836;0.042480;-0.007324;0.975610;-0.060976;-1.036585;0
132;217246;1.015137;0.038574;0.000977;1.097561;0.091463;-0.853659;0
133;218900;1.010254;0.031738;-0.008789;1.006098;-0.121951;-1.006098;0
134;220554;1.005859;0.030273;-0.005859;0.975610;-0.152439;-1.067073;0
135;222208;1.013672;0.032227;-0.012207;1.036585;0.000000;-0.731707;0
136;223863;1.008789;0.034180;-0.020508;0.884146;0.091463;-0.945122;0
137;225524;1.009766;0.032227;-0.026855;1.097561;0.091463;-0.823171;0
138;227178;1.005859;0.032227;-0.004395;1.128049;-0.152439;-1.036585;0
139;228831;1.013184;0.030762;-0.009277;1.097561;-0.091463;-0.975610;0
140;230492;1.005859;0.032715;-0.016113;0.945122;0.060976;-0.762195;0
141;232252;1.007812;0.033203;-0.002441;0.792683;-0.091463;-0.792683;0
142;233928;1.009277;0.030762;-0.011230;0.731707;-0.060976;-0.914634;0
143;235599;1.007812;0.035645;0.000000;0.975610;0.091463;-0.914634;0
144;237258;1.007812;0.029785;-0.012695;1.006098;0.182927;-0.945122;0
145;238912;1.007324;0.035156;-0.021484;1.189024;0.121951;-1.006098;0
146;240566;1.004395;0.031738;-0.008789;1.036585;0.091463;-1.006098;0
147;242222;1.018555;0.033691;-0.016113;1.067073;0.335366;-0.823171;0
148;243876;1.007812;0.032715;-0.017090;0.853659;0.060976;-1.006098;0
149;245542;1.008789;0.033203;-0.013184;0.884146;-0.060976;-0.975610;0
150;247199;1.020996;0.036133;-0.003418;0.884146;0.213415;-1.158537;0
151;248856;1.009277;0.026367;-0.022949;0.914634;-0.030488;-0.792683;0
152;250515;1.006836;0.027832;-0.015137;1.219512;0.000000;-0.731707;0
153;252171;1.010254;0.031250;-0.010254;0.884146;0.304878;-0.914634;0
154;253824;1.000488;0.028809;-0.007324;1.006098;0.030488;-0.945122;0
155;255486;1.001465;0.033203;-0.008789;1.189024;0.091463;-0.701220;0
156;257137;1.008301;0.033203;-0.013672;1.189024;-0.030488;-1.036585;0
157;258791;1.006836;0.023926;-0.005371;1.097561;0.274390;-0.701220;0
158;260445;1.002930;0.038086;-0.022461;1.158537;0.152439;-0.640244;0
159;262099;1.006836;0.035156;-0.015625;0.914634;0.060976;-0.975610;0
160;263752;1.017578;0.029785;-0.003418;0.853659;0.152439;-1.036585;0
161;265404;1.005371;0.035645;-0.001953;1.097561;0.152439;-0.762195;0
162;267059;1.001465;0.032227;-0.025391;1.067073;0.152439;-0.914634;0
163;268714;1.011230;0.033203;-0.025879;0.945122;0.274390;-0.701220;0
164;270368;1.008789;0.033203;-0.008789;0.884146;0.243902;-0.975610;0
165;272024;1.008301;0.026367;-0.004883;1.250000;0.000000;-1.128049;0
166;273675;1.011230;0.027832;-0.018555;1.036585;0.000000;-0.945122;0
167;275330;1.006836;0.040039;-0.014160;0.853659;0.030488;-1.036585;0
168;276987;1.009766;0.043457;-0.016113;1.006098;0.213415;-1.097561;0
169;278645;1.010254;0.036621;-0.005371;1.189024;0.182927;-0.670732;0
170;280307;1.007812;0.019531;-0.014648;1.128049;-0.091463;-0.853659;0
171;281962;1.002441;0.041016;-0.021484;0.945122;-0.091463;-0.670732;0
172;283631;1.007324;0.029785;-0.013184;1.189024;0.060976;-1.128049;0
173;285303;1.005859;0.046387;-0.002441;1.067073;-0.030488;-1.036585;0
174;287052;1.004883;0.035156;-0.006836;0.884146;0.213415;-0.792683;0
175;288719;1.006836;0.042969;-0.004883;0.914634;0.030488;-0.914634;0
176;290377;1.007812;0.033691;-0.011230;1.341463;-0.121951;-0.945122;0
177;292033;1.006836;0.033691;-0.008789;1.097561;0.030488;-1.067073;0
178;293690;1.009766;0.034180;-0.017578;0.853659;0.091463;-1.006098;0
179;295343;1.007812;0.027344;-0.017578;1.097561;0.182927;-0.914634;0
180;297000;1.008301;0.025879;-0.003906;1.128049;0.060976;-0.823171;0
181;298654;1.015137;0.028320;-0.011230;0.853659;-0.030488;-1.067073;0
182;300310;1.003418;0.030273;-0.015137;0.853659;0.030488;-1.128049;0
183;301964;1.004395;0.038574;-0.008301;0.945122;0.121951;-0.853659;0
184;303621;1.014648;0.036133;-0.018066;0.914634;-0.030488;-0.975610;0
185;305278;1.004395;0.031738;-0.002930;1.189024;0.060976;-0.884146;0
186;306939;1.004395;0.028320;-0.018555;1.036585;-0.030488;-0.884146;0
187;308595;1.005859;0.023926;-0.008789;0.853659;-0.091463;-1.006098;0
188;310250;1.001465;0.034180;-0.017090;0.914634;-0.060976;-1.432927;0
189;311911;1.012695;0.026367;-0.014160;0.975610;0.091463;-1.128049;0
190;313576;1.010254;0.038574;-0.013672;1.036585;0.030488;-0.792683;0
191;315238;1.006348;0.035156;-0.024414;0.914634;0.060976;-0.823171;0
192;316909;1.003418;0.035156;-0.017578;0.853659;0.152439;-0.853659;0
193;318564;1.008789;0.037598;-0.022949;1.067073;0.274390;-0.640244;0
194;320218;1.008301;0.033691;-0.002930;1.006098;-0.121951;-1.067073;0
195;321873;1.001465;0.037598;-0.013672;1.097561;0.121951;-0.914634;0
196;323528;1.003418;0.030273;-0.005371;0.945122;0.243902;-0.792683;0
197;325183;1.009277;0.028320;-0.011719;1.310976;0.091463;-0.762195;0
198;326838;1.015137;0.028809;-0.017578;0.853659;0.030488;-0.823171;0
199;328493;1.018555;0.029297;-0.022461;0.823171;-0.030488;-1.036585;0
200;330148;1.017090;0.035645;-0.007812;0.853659;0.121951;-0.762195;0
201;331803;1.003906;0.031738;-0.025391;0.792683;0.091463;-0.975610;0
202;333465;1.002441;0.038086;-0.006836;1.250000;0.152439;-0.914634;0
203;335131;1.002441;0.036133;-0.023438;0.884146;-0.121951;-0.640244;0
204;336796;1.005859;0.042480;0.000000;1.189024;0.121951;-1.128049;0
205;338457;1.016113;0.034180;-0.010254;1.219512;0.000000;-0.853659;0
206;340115;1.001953;0.035156;-0.005371;0.945122;0.182927;-0.731707;0
207;341770;1.014160;0.035156;-0.015137;0.792683;0.000000;-0.792683;0
208;343426;1.011230;0.040039;-0.005371;1.036585;0.213415;-0.792683;0
209;345080;1.010254;0.028809;-0.022949;1.067073;0.000000;-1.097561;0
210;346736;1.007324;0.035645;-0.006348;0.914634;-0.060976;-1.036585;0
211;348405;1.007324;0.027832;-0.017090;0.884146;0.060976;-0.914634;0
212;350062;1.010254;0.039551;-0.010742;0.823171;0.152439;-0.792683;0
213;351719;1.007812;0.027832;-0.005371;1.189024;0.060976;-0.823171;0
214;353375;1.012695;0.039551;-0.017578;0.975610;0.060976;-0.945122;0
215;355031;1.009766;0.028320;-0.006348;1.189024;0.121951;-1.067073;0
216;356686;1.008789;0.031250;-0.007812;1.158537;0.030488;-0.914634;0
217;358341;1.005859;0.037598;-0.023438;0.792683;0.152439;-0.731707;0
218;359997;1.008301;0.035645;-0.003906;1.128049;-0.152439;-0.853659;0
219;361650;1.004395;0.035645;-0.021484;1.128049;0.030488;-0.945122;0
220;363305;1.013184;0.028809;0.006348;0.945122;-0.030488;-1.067073;0
221;364959;1.004395;0.036133;-0.014160;1.158537;-0.091463;-0.914634;0
222;366615;1.010742;0.032227;-0.018555;0.762195;-0.152439;-0.762195;0
