num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;0.999512;0.015625;-0.013184;1.128049;0.152439;-0.792683;0
2;1693;1.014648;0.013184;-0.027344;1.219512;0.030488;-0.823171;0
3;3394;1.003418;0.017578;-0.020508;0.945122;0.000000;-0.792683;0
4;5088;0.999512;0.013672;-0.017090;0.975610;-0.091463;-1.036585;0
5;6786;1.008789;0.011719;-0.014648;1.006098;0.030488;-1.067073;0
6;8475;1.014648;0.021484;-0.015137;0.945122;0.213415;-1.006098;0
7;10171;1.010742;0.007812;-0.013672;0.640244;0.000000;-0.823171;0
8;11865;1.012695;0.008789;-0.026367;0.914634;-0.091463;-1.006098;0
9;13555;1.010742;0.013672;-0.012695;0.731707;0.000000;-1.097561;0
10;15249;1.008789;0.021973;-0.013672;0.884146;0.030488;-0.853659;0
11;16958;1.008301;0.020508;-0.017578;1.036585;0.182927;-0.975610;0
12;18664;1.009766;0.018066;-0.014160;1.189024;0.030488;-0.945122;0
13;20369;1.003418;0.027832;-0.023438;1.036585;0.060976;-0.762195;0
14;22064;0.998047;0.013184;-0.011719;1.006098;0.000000;-0.792683;0
15;23755;0.997070;0.020508;-0.006836;1.128049;-0.182927;-0.853659;0
16;25446;1.014160;0.010254;-0.007812;1.250000;-0.030488;-0.762195;0
17;27136;1.010742;0.014648;-0.003906;1.067073;-0.030488;-0.853659;0
18;28831;1.005859;0.015625;-0.019043;0.853659;0.274390;-0.640244;0
19;30524;0.999023;0.016113;-0.025391;1.097561;-0.030488;-0.975610;0
20;32216;1.011719;0.016602;-0.025391;1.128049;-0.060976;-1.036585;0
21;33907;1.006836;0.023438;-0.017578;1.219512;0.121951;-0.975610;0
22;35599;1.004883;0.007812;-0.011719;0.823171;0.304878;-0.853659;0
23;37294;1.009277;0.016113;-0.017578;1.006098;0.091463;-0.731707;0
24;38984;1.005859;0.017578;-0.017090;0.792683;-0.060976;-1.067073;0
25;40677;1.010254;0.020996;-0.006836;1.128049;0.121951;-0.762195;0
26;42375;1.004395;0.019531;-0.029297;0.975610;0.121951;-0.731707;0
27;44069;1.007324;0.009277;-0.020996;1.006098;0.091463;-1.097561;0
28;45764;1.004883;0.020020;-0.026367;1.158537;0.243902;-0.945122;0
29;47454;1.008301;0.013672;-0.017578;0.823171;-0.152439;-0.884146;0
30;49145;1.009277;0.016602;-0.013672;0.914634;0.030488;-0.762195;0
31;50838;1.005371;0.023438;-0.003418;1.036585;-0.030488;-0.853659;0
32;52531;1.007324;0.018066;-0.042480;1.219512;-0.152439;-0.945122;0
33;54228;1.010742;0.016602;-0.017090;1.097561;0.060976;-0.914634;0
34;55918;1.003906;0.019531;-0.028809;0.945122;0.213415;-0.792683;0
35;57610;1.001953;0.016602;-0.007324;0.792683;-0.060976;-0.731707;0
36;59301;1.010254;0.019043;-0.023438;0.884146;-0.274390;-0.792683;0
37;60994;1.004883;0.021973;-0.026367;0.853659;0.091463;-0.975610;0
38;62690;1.004395;0.012695;-0.023926;0.975610;0.213415;-1.128049;0
39;64380;1.019043;0.014160;-0.022461;1.006098;-0.060976;-0.823171;0
40;66072;1.010254;0.010742;-0.021484;0.914634;0.091463;-0.792683;0
41;67769;0.998535;0.018555;-0.012695;0.975610;0.121951;-0.823171;0
42;69464;1.006836;0.020020;-0.011719;1.006098;0.152439;-0.884146;0
43;71162;1.020508;0.004883;-0.030273;1.006098;-0.213415;-0.731707;0
44;72858;0.999512;0.008301;-0.030762;0.945122;0.182927;-0.884146;0
45;74552;1.015625;0.016113;-0.035156;0.640244;0.121951;-0.853659;0
46;76248;1.009277;0.022461;-0.016113;1.036585;-0.030488;-0.762195;0
47;77939;1.009766;0.022461;-0.003906;1.067073;-0.121951;-0.884146;0
48;79640;1.008789;0.016113;-0.010254;0.945122;0.365854;-0.945122;0
49;81330;1.010742;0.014648;-0.025879;1.067073;0.182927;-0.823171;0
50;83030;1.005371;0.015625;-0.017578;1.067073;-0.030488;-0.884146;0
51;84744;1.015137;0.020996;-0.025879;0.884146;0.304878;-0.640244;0
52;86447;1.009277;0.018066;-0.015625;0.975610;0.182927;-0.945122;0
53;88143;1.008301;0.015625;-0.008789;1.158537;0.152439;-1.128049;0
54;89849;1.004883;0.018066;-0.015625;1.006098;0.000000;-0.853659;0
55;91542;1.006836;0.017578;-0.023438;0.975610;-0.091463;-0.853659;0
56;93233;1.006348;0.016113;-0.016602;1.006098;-0.243902;-1.280488;0
57;94927;1.016113;0.013184;-0.021973;1.158537;-0.030488;-0.853659;0
58;96622;1.002930;0.005859;-0.008301;0.914634;0.213415;-0.853659;0
59;98319;1.011230;0.014648;-0.015137;1.067073;0.000000;-0.884146;0
60;100012;1.016602;0.013184;-0.015137;0.975610;-0.152439;-0.609756;0
61;101705;1.003906;0.023438;-0.021973;0.945122;-0.030488;-0.914634;0
62;103397;1.006836;0.010254;-0.008301;0.945122;-0.030488;-0.884146;0
63;105093;1.006836;0.006836;0.000000;0.823171;0.091463;-1.067073;0
64;106785;1.015625;0.015625;-0.024414;0.884146;0.091463;-0.823171;0
65;108476;1.012695;0.014648;-0.006348;0.884146;0.030488;-0.914634;0
66;110170;1.019531;0.012695;-0.023926;0.914634;-0.060976;-0.945122;0
67;111860;1.013184;0.021973;-0.008301;1.158537;-0.121951;-0.731707;0
68;113556;1.009766;0.010254;-0.025391;1.097561;0.243902;-0.853659;0
69;115252;1.008789;0.019043;-0.020508;1.036585;-0.060976;-0.762195;0
70;116944;1.008301;0.015625;-0.026855;0.975610;-0.457317;-1.189024;0
