num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;1.014648;0.008789;0.020020;1.067073;-0.182927;-0.884146;0
2;1659;1.013672;0.008301;0.024902;0.975610;0.000000;-0.792683;0
3;3322;1.014160;0.004395;0.006348;0.914634;0.030488;-1.036585;0
4;4980;1.005859;0.011719;0.006348;1.097561;-0.030488;-0.914634;0
5;6636;1.004395;0.012207;0.006348;1.006098;-0.121951;-0.945122;0
6;8297;1.014648;0.006836;0.008789;0.975610;-0.091463;-0.975610;0
7;9958;1.011719;0.011230;0.001953;1.036585;-0.091463;-0.975610;0
8;11619;1.007324;0.010742;0.005859;0.823171;0.121951;-1.067073;0
9;13278;1.007812;0.015625;0.008301;1.036585;0.152439;-0.914634;0
10;14934;1.016602;0.008789;0.008301;1.036585;-0.121951;-0.853659;0
11;16591;1.016113;0.011719;0.020020;0.853659;0.030488;-0.914634;0
12;18255;1.015625;0.002930;0.006348;0.823171;0.182927;-0.731707;0
13;19929;1.020508;0.013672;0.014160;0.823171;-0.121951;-0.701220;0
14;21592;1.011230;0.000488;0.013672;0.945122;0.091463;-0.762195;0
15;23248;1.002930;0.012207;0.010254;0.884146;0.152439;-1.036585;0
16;24908;1.015625;0.013672;0.012695;1.158537;0.121951;-0.823171;0
17;26570;1.012695;0.007324;0.003906;1.219512;0.091463;-0.975610;0
18;28234;1.007324;0.003906;0.013672;0.853659;0.000000;-1.067073;0
19;29892;1.006836;0.007324;0.008301;0.853659;0.030488;-0.823171;0
20;31549;1.004395;0.009277;0.013672;0.975610;0.030488;-0.792683;0
21;33209;1.001465;0.009766;0.012695;1.128049;-0.091463;-1.067073;0
22;34870;1.005859;0.009766;0.019531;0.884146;0.000000;-0.853659;0
23;36533;1.011719;0.000977;0.023926;1.006098;-0.121951;-0.884146;0
24;38193;1.009277;-0.001465;0.017090;0.884146;0.060976;-0.823171;0
25;39852;1.001953;0.005859;0.009766;0.884146;0.304878;-0.975610;0
26;41512;1.006836;-0.001953;0.025391;1.036585;-0.121951;-1.036585;0
27;43173;1.014648;0.005859;0.001465;0.914634;-0.274390;-0.823171;0
28;44836;1.006348;0.010742;0.009277;0.884146;0.000000;-1.036585;0
29;46494;1.014160;0.010742;0.015625;1.097561;-0.030488;-0.975610;0
30;48155;1.008301;0.013184;0.012695;1.158537;-0.091463;-0.762195;0
31;49814;1.019043;0.011230;0.011230;0.884146;-0.091463;-0.823171;0
32;51478;1.007812;0.010742;0.019043;0.945122;-0.152439;-0.945122;0
33;53145;1.010742;0.008301;0.002441;1.036585;-0.152439;-0.914634;0
34;54815;1.008789;0.016113;0.026367;1.036585;0.000000;-0.975610;0
35;56483;1.004395;0.004395;0.008301;0.884146;-0.121951;-0.945122;0
36;58145;1.011230;0.003906;0.007812;1.250000;0.030488;-0.640244;0
37;59807;1.013672;0.013672;0.012695;1.158537;-0.152439;-0.762195;0
38;61478;1.016113;0.007812;0.012207;0.914634;0.060976;-0.975610;0
