num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;0.996582;0.060059;-0.038574;1.128049;-0.182927;-0.914634;0
2;1655;1.010742;0.051270;-0.020996;1.067073;-0.243902;-0.975610;0
3;3309;1.003906;0.050293;-0.028809;1.158537;-0.213415;-1.097561;0
4;4961;1.009277;0.051758;-0.032715;1.097561;0.000000;-0.853659;0
5;6613;1.003906;0.047363;-0.038086;0.945122;0.457317;-0.945122;0
6;8267;1.013672;0.047852;-0.035645;1.036585;0.000000;-1.006098;0
7;9923;1.015625;0.056152;-0.026855;1.036585;-0.182927;-0.914634;0
8;11576;1.010742;0.057129;-0.031250;0.792683;0.091463;-1.036585;0
9;13232;0.986816;0.053223;-0.032715;0.914634;0.457317;-0.945122;0
10;14884;0.995117;0.044922;-0.022461;0.945122;0.152439;-0.579268;0
11;16540;1.005859;0.048340;-0.027832;1.219512;0.030488;-0.975610;0
12;18195;1.008301;0.046387;-0.035645;0.945122;0.000000;-0.853659;0
13;19847;1.008301;0.048828;-0.031738;0.914634;0.000000;-0.945122;0
14;21499;1.007812;0.050781;-0.013672;1.128049;-0.030488;-0.914634;0
15;23161;1.004395;0.048340;-0.028809;1.097561;0.152439;-0.853659;0
16;24819;1.005371;0.050781;-0.028809;0.884146;0.030488;-0.701220;0
17;26471;1.014648;0.050293;-0.018555;0.945122;0.152439;-0.914634;0
18;28123;0.999512;0.054688;-0.022461;1.189024;0.152439;-1.006098;0
19;29776;0.996094;0.045410;-0.009277;1.189024;-0.030488;-0.884146;0
20;31430;1.008789;0.047852;-0.018066;0.853659;-0.091463;-1.097561;0
21;33090;1.019043;0.052246;-0.045898;0.823171;0.243902;-0.884146;0
22;34745;1.004395;0.049805;-0.032715;1.036585;0.182927;-0.701220;0
23;36398;1.007812;0.050293;-0.022461;1.250000;-0.152439;-1.097561;0
24;38052;1.014160;0.055176;-0.031250;0.823171;-0.030488;-0.945122;0
25;39710;1.005859;0.046875;-0.015625;1.067073;0.000000;-0.853659;0
26;41365;0.989746;0.050293;-0.018066;1.128049;0.000000;-0.762195;0
27;43026;1.020508;0.057129;-0.036133;1.067073;-0.121951;-0.823171;0
28;44680;1.017578;0.052734;-0.049316;0.823171;0.335366;-0.914634;0
29;46333;0.990723;0.041992;-0.028320;1.158537;-0.243902;-0.914634;0
30;47985;1.007324;0.046387;-0.016602;1.310976;-0.579268;-1.097561;0
31;49637;1.011230;0.050781;-0.031250;1.158537;-0.060976;-1.067073;0
32;51292;0.993652;0.042480;-0.035156;1.036585;0.457317;-0.975610;0
33;52945;1.001465;0.044922;-0.037598;1.067073;0.335366;-0.914634;0
34;54599;1.031250;0.069336;-0.037598;1.280488;-0.548780;-0.823171;0
35;56252;1.028809;0.061523;-0.040527;1.554878;-0.304878;-0.731707;0
36;57906;1.013184;0.048340;-0.031738;0.853659;0.335366;-0.823171;0
37;59561;1.019531;0.060547;-0.042969;0.792683;0.426829;-1.097561;0
38;61214;1.007324;0.049805;-0.021484;1.128049;-0.213415;-1.036585;0
39;62867;0.999023;0.049316;-0.027344;1.250000;-0.396341;-0.975610;0
40;64521;0.997559;0.051758;-0.021973;1.097561;0.243902;-1.006098;0
41;66176;1.003906;0.040039;-0.036621;1.158537;0.365854;-0.670732;0
42;67830;0.997070;0.039062;-0.032227;1.158537;-0.091463;-0.884146;0
43;69482;1.009766;0.051270;-0.043945;1.189024;-0.335366;-0.975610;0
44;71135;1.010254;0.056152;-0.046387;0.945122;0.091463;-0.731707;0
45;72788;0.999512;0.051270;-0.044434;1.097561;0.335366;-0.762195;0
46;74445;1.015625;0.056152;-0.041016;1.036585;0.091463;-1.036585;0
47;76098;1.012695;0.058105;-0.043457;1.158537;-0.182927;-0.884146;0
48;77751;1.014160;0.053223;-0.034668;1.036585;0.121951;-0.792683;0
49;79404;1.004395;0.058105;-0.015137;1.097561;0.457317;-0.548780;0
50;81058;1.000488;0.048828;-0.030762;1.158537;-0.243902;-0.792683;0
51;82711;1.020508;0.052246;-0.021973;1.006098;-0.304878;-0.914634;0
52;84364;1.017578;0.052246;-0.027344;0.884146;0.182927;-0.762195;0
53;86016;0.995117;0.044922;-0.042969;0.975610;0.487805;-0.884146;0
54;87674;1.007324;0.047363;-0.013672;1.189024;-0.335366;-0.884146;0
55;89329;1.019531;0.056641;-0.041504;1.219512;-0.609756;-1.006098;0
56;90985;1.015625;0.058105;-0.037598;1.189024;0.000000;-0.884146;0
57;92637;0.995605;0.040527;-0.041016;0.884146;0.609756;-0.823171;0
58;94294;1.004883;0.047852;-0.033203;1.219512;-0.121951;-0.609756;0
59;95947;1.031250;0.058594;-0.019043;1.463415;-0.518293;-0.884146;0
60;97599;1.018066;0.056641;-0.024414;0.914634;0.060976;-0.975610;0
61;99253;0.991699;0.043945;-0.024902;0.853659;0.701220;-0.823171;0
62;100906;0.986328;0.042969;-0.008301;1.006098;0.365854;-0.731707;0
63;102561;1.010742;0.046875;-0.024414;1.006098;-0.548780;-0.945122;0
64;104216;1.018555;0.050293;-0.031250;1.097561;-0.274390;-1.067073;0
65;105872;1.013184;0.053711;-0.043945;0.914634;0.365854;-0.792683;0
66;107527;1.011230;0.061523;-0.049316;1.036585;0.091463;-0.914634;0
67;109182;1.010254;0.055176;-0.029297;1.189024;-0.060976;-1.097561;0
68;110835;1.002441;0.055664;-0.034180;1.006098;0.000000;-0.792683;0
69;112488;1.008789;0.043945;-0.026855;0.914634;0.121951;-1.067073;0
70;114144;0.987305;0.039551;-0.008789;1.158537;0.182927;-1.006098;0
71;115800;0.998535;0.043945;-0.032227;0.975610;0.152439;-0.731707;0
72;117454;1.002441;0.058594;-0.028320;1.158537;0.000000;-0.701220;0
73;119108;1.010254;0.057617;-0.035156;1.006098;0.030488;-0.731707;0
74;120761;1.017578;0.061523;-0.041504;1.067073;-0.091463;-0.853659;0
75;122414;1.025879;0.060059;-0.038086;1.402439;-0.091463;-0.945122;0
76;124069;1.013184;0.044922;-0.029297;0.945122;0.304878;-0.975610;0
77;125722;1.003418;0.046387;-0.039551;0.945122;0.243902;-0.640244;0
78;127375;0.998535;0.047852;-0.032715;1.128049;-0.030488;-0.853659;0
79;129028;1.014648;0.056152;-0.025391;1.128049;-0.182927;-1.250000;0
80;130680;1.018066;0.048340;-0.035156;1.250000;-0.060976;-0.884146;0
81;132335;0.995605;0.042480;-0.029297;1.097561;0.274390;-0.640244;0
82;133989;1.007812;0.040039;-0.024414;1.036585;0.121951;-1.036585;0
83;135641;1.006348;0.033691;-0.024902;0.975610;-0.243902;-1.006098;0
84;137294;1.000000;0.043945;-0.008301;1.067073;-0.152439;-1.006098;0
85;138947;1.001953;0.048340;-0.050781;1.158537;0.182927;-0.914634;0
86;140602;1.022461;0.058594;-0.040527;1.036585;0.091463;-0.731707;0
87;142257;1.006348;0.060059;-0.042969;0.975610;-0.121951;-1.006098;0
88;143911;1.010742;0.049805;-0.041504;1.036585;0.000000;-0.884146;0
89;145565;1.004395;0.044922;-0.034668;1.097561;0.091463;-0.823171;0
90;147219;1.006836;0.046387;-0.034668;1.036585;0.030488;-0.731707;0
91;148874;1.024902;0.060547;-0.042480;0.945122;0.030488;-0.884146;0
92;150528;1.017578;0.057617;-0.050293;1.158537;-0.091463;-1.158537;0
93;152182;1.019531;0.048340;-0.042969;1.158537;-0.213415;-1.006098;0
94;153836;1.005371;0.055664;-0.024414;1.189024;-0.213415;-0.762195;0
