##########
# 2016-10-26 10:08:09.950207715 +0200 CEST Data Acquisition
# Acquisition name: captura
# Acquisition num: 4
# Sensor Frequency: 5
# Read Frequency: 8
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
0;494;-0.049194;-0.019470;-0.987793;0.816794;-0.045802;-0.587786
1;2902;-0.048340;-0.017639;-0.989807;0.832061;0.160305;-0.679389
2;10504;-0.072815;-0.019653;-1.071716;0.450382;-15.000000;-0.297710
3;18109;-0.043274;-0.016907;-0.953125;0.618321;-3.763359;-1.389313
4;26080;-0.074768;-0.006348;-0.990356;0.641221;-11.465649;0.725191
5;34076;-0.336975;0.153564;-0.874451;0.709924;-16.908397;6.488550
6;42062;-0.377869;0.133484;-1.051331;-0.839695;-54.175573;7.641221
7;50097;-0.253906;0.112488;-1.181885;0.381679;-0.297710;-7.839695
8;58074;-0.129456;0.105835;-0.993652;0.503817;21.526718;-16.610687
9;66068;0.024109;0.053345;-0.856995;0.358779;27.572519;-6.824427
10;74068;0.136047;0.010315;-1.066284;0.633588;14.908397;-11.297710
11;89037;0.136047;0.010315;-1.066284;0.633588;14.908397;-11.297710
12;90238;0.136047;0.010315;-1.066284;0.633588;14.908397;-11.297710
13;98072;0.034241;-0.058777;-0.972412;2.496183;-0.977099;11.213740
14;106437;-0.006836;-0.123047;-1.143677;0.473282;-2.213740;6.984733
15;114167;0.036499;-0.096130;-0.999573;0.694656;1.732824;7.290076
16;122053;0.042480;-0.161804;-1.006592;2.251908;0.877863;13.305344
17;130040;-0.007935;-0.147827;-0.991760;1.854962;1.503817;11.694656
18;138055;-0.049377;-0.115906;-0.981323;1.083969;0.709924;4.213740
19;146063;-0.065735;-0.025391;-0.989685;0.687023;-0.183206;-1.526718
20;159072;-0.065735;-0.025391;-0.989685;0.687023;-0.183206;-1.526718
21;162130;-0.054688;-0.022034;-0.997559;0.717557;-0.358779;-0.664122
22;170265;-0.055115;-0.018982;-0.992554;0.786260;0.916031;-0.755725
23;178184;-0.054077;-0.018982;-0.994934;0.816794;0.435115;-0.679389
24;186160;-0.055359;-0.017883;-0.990967;0.740458;0.389313;-0.778626
25;194066;-0.055725;-0.021057;-0.985168;0.740458;0.137405;-0.610687
