##########
# 2017-02-15 11:02:19.103436079 +0100 CET Data Acquisition
# Acquisition name: i001
# Acquisition num: 1
# Accelerometer full scale: 8 (4096)
# Gyroscope full scale: 250 (131)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;0.012207;-0.582520;-0.801758;1.030534;0.152672;-0.832061;0
2;1691;0.013672;-0.582520;-0.805664;0.732824;-0.007634;-0.908397;0
3;3389;0.012695;-0.585449;-0.791016;0.954198;0.030534;-1.152672;0
4;5086;0.018555;-0.575684;-0.809082;0.954198;-0.015267;-0.916031;0
5;6780;0.007812;-0.582031;-0.807129;1.091603;0.053435;-0.824427;0
6;8474;0.018066;-0.585938;-0.815918;0.847328;0.038168;-1.053435;0
7;10168;0.011230;-0.581055;-0.810059;1.297710;0.137405;-0.923664;0
8;11859;0.012695;-0.585938;-0.807129;1.053435;0.267176;-1.022901;0
9;13556;0.009277;-0.579590;-0.813477;0.969466;0.206107;-1.000000;0
10;15257;0.012695;-0.589355;-0.802734;1.167939;-0.038168;-1.053435;0
11;16954;0.010254;-0.584961;-0.812500;1.022901;-0.053435;-1.091603;0
12;18648;0.011719;-0.583496;-0.807129;0.847328;-0.175573;-1.068702;0
13;20339;0.012695;-0.580078;-0.802246;1.206107;0.007634;-1.038168;0
14;22032;0.011719;-0.575195;-0.814453;0.786260;0.435115;-1.007634;0
15;23736;0.014648;-0.583008;-0.821777;0.900763;0.068702;-1.000000;0
16;25432;0.011719;-0.584961;-0.793945;1.190840;0.198473;-1.175573;0
17;27130;0.021973;-0.573730;-0.807129;0.824427;0.167939;-1.038168;0
18;28825;0.009766;-0.583984;-0.810059;0.717557;-0.030534;-1.206107;0
19;30520;0.012695;-0.587891;-0.810059;0.900763;-0.068702;-1.083969;0
20;32213;0.016602;-0.582520;-0.809570;0.946565;-0.114504;-1.015267;0
21;33958;0.016113;-0.582031;-0.800293;0.648855;0.290076;-1.053435;0
22;35651;0.011719;-0.585449;-0.806152;0.816794;-0.083969;-0.763359;0
23;37344;0.014648;-0.579590;-0.801758;1.366412;0.061069;-0.969466;0
24;39039;0.015625;-0.576660;-0.812500;1.122137;0.000000;-1.129771;0
25;40734;0.011230;-0.578125;-0.796387;1.083969;-0.061069;-0.755725;0
26;42437;0.012695;-0.574707;-0.791016;1.160305;-0.106870;-1.015267;0
27;44133;0.017578;-0.580566;-0.802246;1.175573;0.030534;-0.893130;0
28;45824;0.020996;-0.571289;-0.815918;1.358779;0.297710;-0.824427;0
29;47516;0.018555;-0.577637;-0.793945;1.145038;0.236641;-1.015267;0
30;49212;0.024414;-0.575684;-0.796387;1.022901;0.061069;-0.954198;0
31;50906;0.010742;-0.580078;-0.814941;1.145038;-0.068702;-0.954198;0
32;52601;0.016113;-0.575684;-0.792969;0.916031;0.167939;-1.122137;0
33;54295;0.012695;-0.573730;-0.803223;0.877863;0.183206;-1.129771;0
34;55989;0.014160;-0.580566;-0.804688;0.847328;-0.030534;-0.832061;0
35;57688;0.007324;-0.578125;-0.803711;1.061069;0.229008;-0.702290;0
36;59381;0.024414;-0.581543;-0.806641;0.893130;0.175573;-0.801527;0
37;61073;0.016602;-0.573730;-0.813965;0.969466;-0.129771;-0.847328;0
38;62768;0.017090;-0.583496;-0.806641;0.916031;0.068702;-0.900763;0
39;64462;0.012695;-0.584473;-0.807129;1.152672;0.083969;-0.984733;0
40;66156;0.022461;-0.573730;-0.798828;1.229008;-0.137405;-0.984733;0
41;67851;0.020020;-0.587891;-0.798340;1.358779;0.061069;-0.809160;0
42;69545;0.011230;-0.574219;-0.800293;1.190840;0.106870;-0.732824;0
43;71238;0.022949;-0.578613;-0.809082;1.396947;0.129771;-0.977099;0
44;72932;0.007812;-0.577637;-0.810547;1.404580;-0.068702;-1.007634;0
45;74626;0.001465;-0.581055;-0.793945;1.229008;0.091603;-1.022901;0
46;76318;0.006836;-0.574707;-0.805664;1.358779;0.183206;-0.786260;0
47;78012;0.014160;-0.578125;-0.806641;1.022901;0.045802;-1.106870;0
48;79705;0.010254;-0.584473;-0.821777;0.809160;0.190840;-0.931298;0
49;81396;0.010254;-0.580078;-0.810547;1.137405;0.229008;-0.931298;0
50;83091;0.013672;-0.576660;-0.806641;0.900763;0.244275;-1.145038;0
51;84784;0.012695;-0.584961;-0.809570;0.923664;0.160305;-0.969466;0
52;86608;0.013672;-0.582031;-0.804688;0.923664;-0.152672;-1.083969;0
53;88315;0.010254;-0.583496;-0.816406;1.007634;0.099237;-0.801527;0
54;90012;0.018555;-0.582031;-0.808105;0.832061;0.015267;-0.916031;0
55;91710;0.018066;-0.576172;-0.814453;1.320611;0.091603;-1.129771;0
56;93411;0.020508;-0.571777;-0.801270;1.335878;-0.007634;-0.984733;0
57;95118;0.015137;-0.581055;-0.812500;1.000000;0.244275;-0.877863;0
58;96815;0.016602;-0.584961;-0.798828;1.328244;0.160305;-0.778626;0
59;98507;0.010742;-0.587891;-0.788574;1.267176;-0.106870;-1.015267;0
60;100204;0.015625;-0.591309;-0.821289;1.145038;0.007634;-0.984733;0
61;101897;0.016602;-0.586914;-0.794434;1.236641;0.618321;-1.022901;0
62;103592;0.010742;-0.583496;-0.806152;1.381679;0.274809;-0.870229;0
63;105285;0.015137;-0.581055;-0.803223;0.824427;-0.022901;-1.335878;0
64;106979;0.019043;-0.583496;-0.800781;0.870229;0.045802;-1.328244;0
65;108674;0.013184;-0.584961;-0.812988;1.076336;-0.160305;-1.038168;0
66;110367;0.022461;-0.586426;-0.798340;1.061069;0.038168;-0.908397;0
67;112066;0.013672;-0.581055;-0.795410;0.885496;0.083969;-1.114504;0
68;113761;0.016602;-0.583984;-0.809082;1.083969;0.022901;-0.839695;0
69;115457;0.029297;-0.581055;-0.802734;0.946565;-0.083969;-0.877863;0
70;117154;0.015625;-0.583008;-0.812500;0.793893;0.137405;-0.816794;0
71;118857;0.017578;-0.582031;-0.805664;0.954198;-0.030534;-0.625954;0
72;120552;0.014160;-0.581055;-0.799805;1.076336;0.000000;-0.824427;0
73;122290;0.013184;-0.578125;-0.802734;0.916031;0.114504;-1.183206;0
74;123980;0.009766;-0.582520;-0.806641;1.129771;0.221374;-0.755725;0
