##########
# 2016-10-17 13:00:12.984432846 +0200 CEST Data Acquisition
#Acquisition name: datos
#Acquisition num: 1
# Sensor Frequency: 5
# Read Frequency: 8
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
0;11643;-0.070679;-0.005981;-0.989075;0.847328;-0.114504;-0.671756
1;17782;-0.070679;-0.001831;-0.988953;0.824427;-0.396947;-0.526718
2;25913;-0.067993;-0.001709;-0.985352;0.755725;-0.236641;-0.580153
3;34150;-0.070251;0.000732;-0.991394;0.778626;-0.236641;-0.702290
4;41919;-0.069275;-0.002014;-0.985413;0.832061;-0.229008;-0.717557
5;49872;-0.069763;-0.005310;-0.984680;0.763359;-0.305344;-0.557252
6;58087;-0.066040;-0.002075;-0.984985;0.877863;-0.221374;-0.656489
7;66375;-0.066711;-0.002625;-0.989929;0.809160;-0.251908;-0.541985
8;73698;-0.068848;-0.003723;-0.988708;0.763359;-0.366412;-0.656489
9;81581;-0.067200;-0.004517;-0.991821;-0.389313;-1.267176;-0.419847
10;89936;-0.063049;-0.010437;-0.995178;-3.816794;-3.938931;-2.236641
11;97743;-0.033752;-0.005737;-0.990540;-5.984733;-5.396947;-4.427481
12;105779;0.000916;-0.006226;-0.993713;-1.564885;-1.244275;-8.763359
13;114337;-0.061401;-0.009827;-0.972961;-2.465649;-2.175573;-9.610687
14;122621;-0.056641;-0.003052;-1.005127;1.381679;0.396947;-1.938931
15;129864;-0.159607;-0.000916;-0.988770;0.259542;1.297710;-1.061069
16;139905;-0.161011;0.005005;-0.967834;-2.519084;0.450382;0.770992
17;145887;-0.065430;-0.002686;-0.987732;1.770992;1.114504;0.717557
18;153661;-0.065430;-0.002686;-0.987732;1.770992;1.114504;0.717557
19;162494;-0.079590;-0.003174;-0.989502;4.068702;2.778626;0.564885
20;170356;-0.067688;0.002808;-0.996277;4.603053;3.076336;-0.213740
21;178426;-0.066101;0.000305;-0.992554;3.312977;1.885496;-1.366412
22;186359;-0.069702;-0.001221;-0.991394;2.610687;1.229008;-1.770992
23;194352;-0.071838;0.006348;-0.985962;-0.251908;-1.305344;-1.015267
24;201873;-0.062805;-0.009521;-0.988708;-0.610687;-1.923664;-1.862595
25;210273;-0.066956;-0.002625;-0.989136;0.152672;-0.900763;-1.091603
26;217734;-0.069031;0.000610;-0.985535;0.671756;-0.312977;-0.755725
27;225825;-0.070740;-0.003235;-0.989929;0.839695;-0.183206;-0.595420
28;233748;-0.071899;-0.002869;-0.988220;0.824427;-0.221374;-0.541985
29;241903;-0.070312;-0.001160;-0.989624;0.748092;-0.183206;-0.564885
30;249498;-0.070496;-0.003723;-0.986633;0.793893;-0.114504;-0.648855
31;258298;-0.069763;-0.004761;-0.994019;0.709924;-0.190840;-0.580153
32;266193;-0.072510;-0.004517;-0.990906;0.809160;-0.083969;-0.480916
33;273797;-0.072021;-0.004517;-0.990540;0.702290;-0.045802;-0.572519
34;281812;-0.071899;-0.003479;-0.985535;0.847328;0.045802;-0.572519
35;289966;-0.070740;-0.002747;-0.983521;0.862595;-0.007634;-0.648855
36;298098;-0.068542;-0.002319;-0.986816;0.679389;-0.137405;-0.656489
37;305798;-0.068054;-0.003540;-0.989258;0.717557;-0.137405;-0.595420
38;313795;-0.068481;0.000916;-0.995422;0.809160;-0.190840;-0.656489
39;321712;-0.068604;-0.001099;-0.986328;0.732824;-0.236641;-0.549618
40;330083;-0.069153;0.002014;-0.993408;0.809160;-0.190840;-0.488550
41;337725;-0.068115;0.001953;-0.984497;0.717557;-0.190840;-0.465649
42;345732;-0.069275;-0.001038;-0.987610;0.679389;-0.274809;-0.618321
43;353993;-0.068909;0.001526;-0.990479;0.702290;-0.282443;-0.595420
44;361615;-0.070190;-0.002441;-0.989624;0.786260;-0.175573;-0.679389
45;369626;-0.072693;-0.002319;-0.989563;0.824427;-0.122137;-0.679389
46;378113;-0.070007;-0.004883;-0.992737;0.893130;-0.160305;-0.679389
47;386077;-0.071106;-0.002197;-0.986389;0.839695;-0.129771;-0.717557
48;393671;-0.070496;-0.006348;-0.987732;0.763359;-0.198473;-0.587786
49;401933;-0.071045;-0.005127;-0.987854;0.725191;-0.259542;-0.580153
50;409569;-0.071899;-0.005676;-0.987061;0.702290;-0.282443;-0.633588
51;417627;-0.071899;-0.005676;-0.987061;0.702290;-0.282443;-0.633588
52;425662;-0.073242;-0.003845;-0.989563;0.725191;-0.045802;-0.610687
53;433635;-0.071411;-0.005310;-0.985840;0.725191;-0.068702;-0.687023
54;441637;-0.069275;-0.002808;-0.989624;0.648855;-0.175573;-0.633588
55;449662;-0.071838;0.000061;-0.988892;0.755725;-0.160305;-0.618321
56;457639;-0.070374;-0.003662;-0.987488;0.763359;-0.251908;-0.633588
57;465649;-0.069092;-0.001343;-0.991821;0.755725;-0.206107;-0.572519
58;473751;-0.068787;-0.000732;-0.988770;0.786260;-0.244275;-0.618321
59;481965;-0.070312;-0.003418;-0.992493;0.770992;-0.099237;-0.526718
60;489963;-0.069336;-0.002441;-0.987854;0.809160;-0.198473;-0.641221
61;498478;-0.070557;-0.003479;-0.990540;0.702290;-0.129771;-0.610687
62;505462;-0.066345;-0.000671;-0.984253;0.709924;-0.190840;-0.519084
63;513838;-0.066345;-0.003540;-0.990479;0.725191;-0.229008;-0.511450
64;521692;-0.069580;-0.005249;-0.989929;0.763359;-0.244275;-0.603053
65;530015;-0.070862;-0.003418;-0.990356;0.679389;-0.274809;-0.480916
66;537563;-0.068970;-0.000977;-0.986145;0.679389;-0.167939;-0.572519
67;545792;-0.070801;-0.001038;-0.990540;0.702290;-0.137405;-0.648855
68;553507;-0.071167;-0.005737;-0.990662;0.832061;-0.229008;-0.671756
69;561647;-0.069519;-0.004822;-0.988037;0.763359;-0.160305;-0.595420
70;569673;-0.070557;-0.006470;-0.989380;0.748092;-0.259542;-0.641221
71;577629;-0.071899;-0.005432;-0.987000;0.717557;-0.152672;-0.610687
72;585783;-0.071533;-0.001221;-0.991821;0.656489;-0.198473;-0.694656
73;593648;-0.069519;-0.002197;-0.994446;0.664122;-0.083969;-0.580153
74;602150;-0.067017;-0.000488;-0.988342;0.732824;-0.137405;-0.618321
75;609977;-0.070557;-0.001282;-0.989685;0.702290;-0.198473;-0.625954
76;617537;-0.069641;0.000061;-0.992798;0.671756;-0.251908;-0.603053
77;625650;-0.066406;-0.003418;-0.993774;0.763359;-0.297710;-0.656489
78;633677;-0.068542;-0.001221;-0.992676;0.755725;-0.236641;-0.648855
