##########
# 2016-10-17 13:07:28.870869974 +0200 CEST Data Acquisition
# Acquisition name: datos
# Acquisition num: 5
# Sensor Frequency: 5
# Read Frequency: 8
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
0;7528;-0.069946;0.000000;-0.988220;0.793893;-0.282443;-0.648855
1;15238;-0.070618;0.001648;-0.991943;0.725191;-0.229008;-0.679389
2;23230;-0.069824;-0.004761;-0.983765;0.847328;-0.099237;-0.595420
3;31260;-0.069824;-0.004761;-0.983765;0.847328;-0.099237;-0.595420
4;39467;-0.069031;-0.000793;-0.994995;0.778626;-0.236641;-0.580153
5;47235;-0.070068;0.000610;-0.989746;0.870229;-0.122137;-0.541985
6;55465;-0.068115;-0.003235;-0.991028;0.687023;-0.251908;-0.541985
7;63343;-0.066528;-0.001160;-0.989929;0.778626;-0.213740;-0.648855
8;72231;-0.072449;-0.001282;-0.988647;0.717557;-0.229008;-0.603053
9;79699;-0.071533;-0.003967;-0.989807;0.893130;-0.198473;-0.618321
10;87200;-0.070068;-0.003418;-0.984802;0.702290;-0.282443;-0.618321
11;95223;-0.071228;-0.003296;-0.991882;0.709924;-0.297710;-0.641221
12;103392;-0.071899;-0.003906;-0.994690;0.786260;-0.198473;-0.625954
13;111404;-0.069946;-0.004639;-0.990906;0.732824;-0.206107;-0.641221
14;119219;-0.070190;-0.005249;-0.991394;0.725191;-0.190840;-0.625954
15;127237;-0.067871;-0.001099;-0.993958;0.809160;-0.190840;-0.564885
16;135476;-0.071777;-0.000061;-0.986755;0.732824;-0.251908;-0.595420
17;143233;-0.070129;-0.003540;-0.988953;0.740458;-0.206107;-0.709924
18;151259;-0.071472;-0.001831;-0.986328;0.755725;-0.175573;-0.679389
19;159246;-0.066895;-0.000061;-0.989807;0.763359;-0.236641;-0.687023
20;167417;-0.069031;-0.000977;-0.987549;0.625954;-0.137405;-0.709924
21;175251;-0.069031;-0.000977;-0.987549;0.625954;-0.137405;-0.709924
22;183288;-0.068481;0.000671;-0.990845;0.725191;-0.236641;-0.679389
23;191810;-0.068909;-0.000610;-0.990723;0.725191;-0.267176;-0.717557
24;199222;-0.067749;0.000549;-0.989197;0.709924;-0.152672;-0.603053
25;207341;-0.067505;0.001587;-0.990417;0.702290;-0.229008;-0.610687
26;215227;-0.067566;-0.001892;-0.990356;0.725191;-0.175573;-0.610687
27;223281;-0.067322;-0.003174;-0.993713;0.687023;-0.122137;-0.679389
28;231218;-0.068115;-0.002014;-0.993591;0.656489;-0.221374;-0.519084
29;239231;-0.070496;-0.001953;-0.988647;0.732824;-0.175573;-0.503817
30;247228;-0.072083;-0.001221;-0.990967;0.702290;-0.221374;-0.656489
31;255238;-0.069092;-0.002808;-0.990051;0.793893;-0.229008;-0.603053
32;263233;-0.070374;-0.005737;-0.990540;0.763359;-0.175573;-0.671756
33;271391;-0.070374;-0.004150;-0.990051;0.763359;-0.198473;-0.572519
34;279266;-0.070923;-0.002380;-0.990295;0.786260;-0.206107;-0.603053
35;287230;-0.068359;-0.001465;-0.990173;0.687023;-0.137405;-0.603053
36;295242;-0.069031;-0.000732;-0.989990;0.687023;-0.190840;-0.625954
37;303247;-0.068848;-0.003418;-0.988403;0.641221;-0.152672;-0.557252
38;311287;-0.065796;-0.000916;-0.992493;0.725191;-0.236641;-0.580153
39;319248;-0.070068;-0.000061;-0.989258;0.740458;-0.198473;-0.511450
40;327724;-0.069458;-0.002563;-0.991333;0.709924;-0.129771;-0.473282
41;335681;-0.069458;-0.002563;-0.991333;0.709924;-0.129771;-0.473282
42;343217;-0.072021;-0.002747;-0.989563;0.687023;-0.091603;-0.526718
43;351260;-0.070068;-0.001099;-0.992920;0.709924;-0.099237;-0.511450
44;359465;-0.068970;0.000793;-0.988586;0.656489;-0.190840;-0.717557
45;367226;-0.069275;-0.001709;-0.992920;0.755725;-0.175573;-0.648855
46;381914;-0.069824;-0.001465;-0.984558;0.786260;-0.251908;-0.687023
47;383968;-0.069824;-0.001465;-0.984558;0.786260;-0.251908;-0.687023
48;391339;-0.072205;-0.003784;-0.991272;0.786260;-0.213740;-0.610687
49;399343;-0.070984;-0.005554;-0.993347;0.824427;-0.190840;-0.610687
50;407256;-0.067993;-0.002075;-0.987854;0.641221;-0.213740;-0.687023
51;415235;-0.070129;-0.002258;-0.989502;0.664122;-0.167939;-0.687023
52;423247;-0.070190;-0.000610;-0.989990;0.793893;-0.183206;-0.641221
53;431287;-0.069824;-0.002441;-0.994385;0.679389;-0.206107;-0.549618
54;439066;-0.068237;0.000610;-0.990967;0.709924;-0.206107;-0.480916
55;447604;-0.066772;-0.001953;-0.990356;0.801527;-0.145038;-0.549618
56;455197;-0.066772;-0.001953;-0.990356;0.801527;-0.145038;-0.549618
57;463196;-0.068359;-0.003662;-0.986450;0.809160;-0.083969;-0.610687
58;471257;-0.068665;-0.000061;-0.991089;0.740458;-0.152672;-0.694656
59;479243;-0.068909;-0.001221;-0.991821;0.885496;-0.244275;-0.625954
60;487218;-0.067200;-0.002258;-0.989075;0.755725;-0.152672;-0.603053
61;495239;-0.070129;-0.003479;-0.990662;0.824427;-0.229008;-0.572519
62;503239;-0.069885;-0.003967;-0.985718;0.755725;-0.236641;-0.496183
63;511276;-0.070923;-0.003418;-0.987610;0.694656;-0.190840;-0.511450
64;519242;-0.068420;-0.005005;-0.991150;0.839695;-0.206107;-0.587786
65;527235;-0.068848;-0.004700;-0.990845;0.709924;-0.221374;-0.534351
66;535246;-0.070740;-0.003418;-0.990051;0.755725;-0.206107;-0.557252
67;543320;-0.069397;0.001953;-0.989685;0.732824;-0.091603;-0.549618
68;551172;-0.072815;-0.002625;-0.989258;0.755725;-0.152672;-0.572519
69;559311;-0.067871;-0.003662;-0.990479;0.702290;-0.167939;-0.572519
70;567219;-0.070618;-0.001831;-0.988037;0.709924;-0.152672;-0.664122
71;575257;-0.068298;-0.004028;-0.986450;0.641221;-0.091603;-0.572519
72;583245;-0.068909;0.000366;-0.991028;0.717557;-0.129771;-0.656489
73;591249;-0.068665;-0.003113;-0.989136;0.755725;-0.183206;-0.641221
74;599235;-0.065430;-0.000732;-0.988281;0.725191;-0.106870;-0.671756
75;607268;-0.068726;0.000000;-0.989990;0.687023;-0.198473;-0.641221
76;615238;-0.068115;-0.000732;-0.991333;0.702290;-0.106870;-0.572519
77;623243;-0.067810;-0.000183;-0.989563;0.755725;-0.167939;-0.656489
78;631265;-0.067078;-0.003052;-0.989868;0.801527;-0.221374;-0.603053
79;639248;-0.069885;-0.000366;-0.993042;0.786260;-0.183206;-0.694656
80;648257;-0.068848;-0.003357;-0.990662;0.755725;-0.305344;-0.572519
81;655369;-0.068054;-0.002441;-0.993469;0.770992;-0.190840;-0.603053
82;663202;-0.068054;-0.000793;-0.989319;0.809160;-0.190840;-0.587786
83;671263;-0.069397;-0.005310;-0.992798;0.671756;-0.145038;-0.534351
84;679231;-0.069885;-0.002747;-0.991455;0.656489;-0.251908;-0.526718
85;687227;-0.069885;-0.002747;-0.991455;0.656489;-0.251908;-0.526718
86;695231;-0.068970;-0.002808;-0.991333;0.778626;-0.229008;-0.664122
87;703231;-0.069580;0.000061;-0.992432;0.732824;-0.114504;-0.572519
88;711280;-0.068909;-0.005493;-0.988098;0.694656;-0.053435;-0.572519
89;719250;-0.072327;-0.002197;-0.990295;0.656489;-0.106870;-0.618321
90;727229;-0.069702;-0.003296;-0.990417;0.755725;-0.145038;-0.595420
91;735236;-0.070557;-0.003113;-0.992310;0.748092;-0.160305;-0.679389
92;743239;-0.067932;-0.002380;-0.990112;0.603053;-0.213740;-0.610687
93;751804;-0.069214;0.000183;-0.989136;0.732824;-0.160305;-0.625954
94;759797;-0.068054;-0.002747;-0.983582;0.717557;-0.251908;-0.595420
95;767267;-0.069885;-0.001160;-0.989197;0.587786;-0.213740;-0.526718
96;775221;-0.067078;0.000305;-0.990479;0.748092;-0.206107;-0.580153
97;783372;-0.068909;-0.001892;-0.987122;0.740458;-0.198473;-0.641221
98;791281;-0.069763;-0.000061;-0.992615;0.786260;-0.045802;-0.603053
99;799577;-0.070618;-0.002747;-0.990784;0.748092;-0.221374;-0.564885
100;807765;-0.067261;-0.001892;-0.990295;0.664122;-0.312977;-0.656489
101;815311;-0.069824;-0.004211;-0.986511;0.732824;-0.129771;-0.656489
102;823242;-0.070435;-0.005005;-0.990173;0.725191;-0.129771;-0.610687
103;831276;-0.073425;-0.004456;-0.989502;0.648855;-0.152672;-0.633588
104;839255;-0.073425;-0.004456;-0.989502;0.648855;-0.152672;-0.633588
105;847238;-0.071838;-0.002686;-0.993347;0.618321;-0.183206;-0.580153
106;855240;-0.070801;-0.001648;-0.987366;0.679389;-0.213740;-0.610687
107;863234;-0.070923;-0.001892;-0.989380;0.603053;-0.244275;-0.656489
108;871267;-0.070007;-0.004028;-0.988342;0.725191;-0.145038;-0.595420
109;879256;-0.071716;-0.002563;-0.991638;0.786260;-0.167939;-0.610687
110;887695;-0.071167;-0.002502;-0.988586;0.679389;-0.213740;-0.564885
111;895208;-0.068359;-0.000183;-0.989258;0.709924;-0.145038;-0.534351
112;903340;-0.067871;-0.003357;-0.988892;0.748092;-0.206107;-0.587786
113;911601;-0.070618;-0.003052;-0.988464;0.770992;-0.137405;-0.603053
114;919392;-0.072021;-0.001221;-0.988831;0.755725;-0.160305;-0.610687
115;927183;-0.067383;-0.000488;-0.988831;0.732824;-0.213740;-0.564885
116;935357;-0.069641;-0.003540;-0.990601;0.740458;-0.152672;-0.603053
117;943244;-0.072083;-0.003296;-0.987122;0.687023;-0.152672;-0.618321
118;951269;-0.068176;-0.002808;-0.991638;0.664122;-0.190840;-0.610687
119;959230;-0.070679;-0.004089;-0.990723;0.709924;-0.160305;-0.625954
120;967228;-0.070679;-0.004089;-0.990723;0.709924;-0.160305;-0.625954
121;975247;-0.069946;-0.001526;-0.991821;0.755725;-0.099237;-0.450382
122;983265;-0.069519;-0.000854;-0.990906;0.641221;-0.167939;-0.603053
123;991288;-0.069397;-0.003784;-0.988098;0.725191;-0.282443;-0.618321
124;999758;-0.070557;-0.000793;-0.986633;0.740458;-0.251908;-0.755725
125;1007270;-0.069031;-0.000732;-0.993958;0.778626;-0.213740;-0.564885
126;1015267;-0.072021;-0.002686;-0.992554;0.679389;-0.145038;-0.572519
127;1023415;-0.068359;-0.002991;-0.989563;0.618321;-0.229008;-0.687023
128;1031218;-0.068115;-0.003235;-0.991760;0.694656;-0.229008;-0.618321
129;1039235;-0.066895;-0.001770;-0.991821;0.748092;-0.183206;-0.511450
130;1047233;-0.069763;-0.003479;-0.986084;0.900763;-0.160305;-0.580153
131;1055231;-0.070557;-0.001648;-0.992981;0.671756;-0.236641;-0.580153
132;1063234;-0.067017;-0.001709;-0.989868;0.755725;-0.236641;-0.610687
133;1071271;-0.069153;-0.002197;-0.989319;0.748092;-0.183206;-0.564885
134;1079240;-0.069153;-0.002197;-0.989319;0.748092;-0.183206;-0.564885
135;1087234;-0.070496;0.000366;-0.991638;0.687023;-0.175573;-0.625954
136;1095243;-0.071838;-0.000732;-0.990479;0.755725;-0.175573;-0.610687
137;1103757;-0.072083;-0.003906;-0.988708;0.786260;-0.183206;-0.633588
138;1111156;-0.070374;-0.003662;-0.988037;0.679389;-0.229008;-0.580153
139;1119640;-0.070801;-0.004517;-0.990356;0.770992;-0.183206;-0.648855
140;1130205;-0.071289;-0.005798;-0.989624;0.717557;-0.106870;-0.587786
141;1135246;-0.071289;-0.005798;-0.989624;0.717557;-0.106870;-0.587786
142;1143587;-0.070007;-0.002380;-0.990417;0.786260;-0.129771;-0.526718
143;1151467;-0.070129;-0.002930;-0.989868;0.725191;-0.236641;-0.587786
144;1159245;-0.070862;-0.001526;-0.987671;0.717557;-0.137405;-0.595420
145;1167272;-0.069397;0.000000;-0.987244;0.740458;-0.076336;-0.595420
146;1175224;-0.066467;-0.000549;-0.991760;0.755725;-0.091603;-0.633588
147;1183664;-0.071716;-0.000366;-0.988892;0.740458;-0.213740;-0.519084
148;1191257;-0.066956;-0.001465;-0.987366;0.717557;-0.152672;-0.610687
149;1199234;-0.067627;-0.001892;-0.985352;0.732824;-0.244275;-0.679389
150;1207236;-0.067444;-0.000061;-0.989502;0.732824;-0.229008;-0.603053
151;1215527;-0.068115;0.001160;-0.991150;0.763359;-0.175573;-0.618321
152;1223240;-0.069336;0.000305;-0.990845;0.748092;-0.099237;-0.641221
153;1231251;-0.070496;-0.002808;-0.987061;0.725191;-0.152672;-0.610687
154;1239237;-0.070190;-0.000183;-0.994629;0.763359;-0.183206;-0.503817
155;1247990;-0.070190;-0.000183;-0.994629;0.763359;-0.183206;-0.503817
156;1255223;-0.069763;-0.004700;-0.988770;0.648855;-0.190840;-0.572519
157;1263218;-0.070312;-0.001465;-0.994812;0.679389;-0.244275;-0.603053
158;1271389;-0.068970;-0.000793;-0.989258;0.755725;-0.190840;-0.618321
159;1279601;-0.067871;-0.002747;-0.991882;0.793893;-0.137405;-0.641221
160;1287225;-0.068542;-0.005249;-0.988770;0.801527;-0.152672;-0.595420
161;1295232;-0.069702;-0.002625;-0.990417;0.748092;-0.137405;-0.687023
162;1303238;-0.069031;-0.003357;-0.993103;0.679389;-0.221374;-0.633588
163;1311625;-0.071350;-0.002502;-0.991150;0.671756;-0.221374;-0.541985
164;1319240;-0.068787;-0.002625;-0.988159;0.725191;-0.221374;-0.564885
165;1327245;-0.067993;-0.000793;-0.991272;0.732824;-0.167939;-0.603053
166;1335242;-0.067993;0.001282;-0.992676;0.778626;-0.122137;-0.648855
167;1343316;-0.069153;-0.004089;-0.989075;0.793893;-0.099237;-0.625954
168;1351300;-0.069641;0.000732;-0.990051;0.664122;-0.221374;-0.679389
169;1359222;-0.070923;-0.002441;-0.990723;0.633588;-0.229008;-0.648855
170;1367820;-0.070007;0.000305;-0.994690;0.656489;-0.167939;-0.679389
171;1375108;-0.068176;-0.001770;-0.992310;0.671756;-0.045802;-0.618321
172;1383232;-0.068176;-0.001770;-0.992310;0.671756;-0.045802;-0.618321
173;1391451;-0.070435;-0.001831;-0.985474;0.664122;-0.099237;-0.595420
174;1399212;-0.071777;-0.004883;-0.991089;0.778626;-0.145038;-0.610687
