##########
# 2017-01-31 14:07:39.355948072 +0100 CET Data Acquisition
# Acquisition name: i001
# Acquisition num: 0
# Accelerometer full scale: 8 (4096)
# Gyroscope full scale: 250 (131)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;0.010742;-0.457520;-0.875000;0.900763;-0.244275;-0.786260;0
2;1684;0.011230;-0.474121;-0.886719;0.900763;-0.091603;-0.908397;0
3;3369;0.008301;-0.470703;-0.872559;0.938931;-0.061069;-0.908397;0
4;5049;0.013184;-0.474121;-0.874512;1.152672;-0.076336;-0.923664;0
5;6730;0.012695;-0.469727;-0.877930;1.083969;0.122137;-0.961832;0
6;8411;0.007324;-0.458008;-0.875488;1.137405;-0.137405;-0.709924;0
7;10093;0.003906;-0.471680;-0.869629;1.091603;0.061069;-0.900763;0
8;11774;0.013184;-0.467773;-0.870605;0.793893;0.038168;-0.824427;0
9;13458;0.015625;-0.465332;-0.890137;0.961832;-0.183206;-0.893130;0
10;15139;0.016113;-0.465820;-0.879883;0.885496;-0.198473;-1.000000;0
11;16820;0.015625;-0.475098;-0.884277;0.908397;-0.068702;-0.770992;0
12;18500;0.008301;-0.470215;-0.862305;0.847328;0.106870;-0.763359;0
13;20181;0.012695;-0.463867;-0.874512;0.931298;-0.007634;-1.038168;0
14;21862;0.015137;-0.476562;-0.874023;0.961832;-0.076336;-1.007634;0
15;23549;0.014648;-0.467285;-0.876953;1.091603;0.038168;-0.854962;0
16;25232;0.013184;-0.463379;-0.883789;0.900763;-0.045802;-1.068702;0
17;26923;0.012207;-0.465332;-0.882812;1.137405;0.015267;-0.839695;0
18;28620;0.017090;-0.474609;-0.873535;1.015267;-0.213740;-1.038168;0
19;30306;0.013672;-0.468750;-0.883789;0.854962;-0.175573;-1.038168;0
20;31995;0.010254;-0.464844;-0.876465;0.977099;0.022901;-0.847328;0
21;33682;0.014648;-0.470215;-0.883301;1.137405;0.015267;-0.954198;0
22;35366;0.015137;-0.464844;-0.875000;1.038168;-0.190840;-0.809160;0
23;37049;0.016113;-0.459473;-0.871582;0.877863;-0.160305;-1.083969;0
24;38729;0.012207;-0.469727;-0.864746;1.114504;0.030534;-0.908397;0
25;40410;0.023438;-0.467773;-0.882324;0.977099;-0.061069;-0.923664;0
26;42093;0.011719;-0.468750;-0.877441;1.099237;-0.213740;-1.053435;0
27;43779;-0.001465;-0.469238;-0.882812;1.068702;0.076336;-0.938931;0
28;45462;0.007324;-0.473633;-0.881348;0.801527;-0.061069;-0.893130;0
29;47143;0.015625;-0.468750;-0.881836;0.847328;-0.129771;-0.984733;0
30;48823;0.011719;-0.470703;-0.886230;1.022901;0.190840;-0.900763;0
31;50503;0.006836;-0.463379;-0.870117;0.946565;0.160305;-0.992366;0
32;52185;0.009277;-0.471680;-0.867676;0.977099;-0.106870;-0.931298;0
33;53872;0.020020;-0.468262;-0.883301;0.992366;-0.053435;-1.022901;0
34;55553;0.010742;-0.466797;-0.882812;1.022901;-0.022901;-0.801527;0
35;57235;0.009277;-0.465820;-0.885254;0.984733;0.068702;-0.816794;0
36;58916;0.012695;-0.465332;-0.882812;0.793893;-0.076336;-1.045802;0
37;60602;0.013184;-0.463379;-0.873535;0.984733;-0.099237;-0.862595;0
38;62285;0.012207;-0.464844;-0.885742;1.099237;-0.198473;-0.969466;0
39;63970;0.010254;-0.474121;-0.881836;1.083969;-0.129771;-0.954198;0
40;65654;0.013184;-0.465820;-0.877930;0.748092;-0.061069;-0.832061;0
