##########
# 2017-01-31 13:38:13.942478896 +0100 CET Data Acquisition
# Acquisition name: i001
# Acquisition num: 1
# Accelerometer full scale: 2 (16384)
# Gyroscope full scale: 250 (131)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;0.018066;-0.469727;-0.874023;0.725191;-0.076336;-0.839695;0
2;1685;0.015625;-0.463379;-0.881836;1.015267;0.229008;-0.679389;0
3;3369;0.012207;-0.458984;-0.870117;0.916031;0.061069;-0.679389;0
4;5052;0.007812;-0.469727;-0.886719;0.885496;-0.091603;-0.870229;0
5;6741;0.016602;-0.470215;-0.870605;1.099237;-0.167939;-1.244275;0
6;8423;0.011719;-0.464844;-0.879395;0.923664;-0.282443;-0.946565;0
7;10104;0.004395;-0.470703;-0.880371;0.893130;-0.374046;-0.977099;0
8;11783;0.014648;-0.464844;-0.871582;0.801527;-0.190840;-1.198473;0
9;13467;0.010742;-0.468262;-0.877930;1.030534;0.137405;-0.725191;0
10;15156;0.013184;-0.467773;-0.867188;1.167939;-0.022901;-0.854962;0
11;16839;0.015137;-0.469238;-0.869629;1.145038;0.007634;-0.847328;0
12;18519;0.008301;-0.465820;-0.873535;0.923664;-0.022901;-0.740458;0
13;20201;0.016113;-0.469238;-0.882812;1.114504;-0.061069;-0.938931;0
14;21881;0.003906;-0.458008;-0.885742;1.221374;-0.206107;-0.923664;0
15;23568;0.013184;-0.472656;-0.869141;1.076336;-0.480916;-0.870229;0
16;25250;0.015137;-0.461426;-0.875488;0.778626;-0.076336;-1.206107;0
17;26931;-0.001465;-0.465820;-0.868652;0.885496;-0.137405;-0.832061;0
18;28618;0.016113;-0.474121;-0.865234;0.770992;-0.045802;-0.931298;0
19;30318;0.005859;-0.463867;-0.884766;1.114504;0.114504;-0.954198;0
20;32010;0.014648;-0.470215;-0.874023;1.183206;0.167939;-0.755725;0
21;33695;0.017090;-0.473633;-0.877441;1.106870;0.206107;-0.809160;0
22;35375;0.016113;-0.465332;-0.873047;0.778626;0.000000;-0.992366;0
23;37058;0.011230;-0.466797;-0.886719;0.961832;-0.175573;-0.977099;0
24;38739;0.016113;-0.461914;-0.877930;1.106870;-0.251908;-0.984733;0
25;40422;0.008301;-0.471680;-0.886719;0.900763;-0.229008;-0.854962;0
26;42107;0.012207;-0.460449;-0.870605;1.038168;-0.450382;-0.938931;0
27;43845;0.003418;-0.467773;-0.887207;1.114504;-0.160305;-0.687023;0
28;45548;0.017578;-0.470703;-0.883789;0.992366;0.152672;-0.954198;0
29;47229;0.011719;-0.470703;-0.873535;1.091603;0.106870;-0.969466;0
30;48917;0.010742;-0.462891;-0.875977;1.030534;0.061069;-1.000000;0
31;50602;0.010742;-0.471191;-0.877441;1.076336;0.000000;-1.129771;0
32;52298;0.008301;-0.462891;-0.873535;0.740458;0.099237;-0.885496;0
33;53981;0.006836;-0.466309;-0.866211;0.694656;-0.083969;-0.862595;0
34;55662;0.015137;-0.467285;-0.865723;1.038168;-0.106870;-0.969466;0
35;57349;0.013184;-0.467285;-0.888184;0.900763;-0.396947;-1.106870;0
36;59029;0.007324;-0.470703;-0.875488;1.099237;-0.145038;-1.030534;0
37;60711;0.007324;-0.467285;-0.867676;0.900763;0.122137;-0.969466;0
38;62394;0.013672;-0.470703;-0.880371;1.106870;-0.213740;-0.580153;0
39;64076;0.011719;-0.468262;-0.884277;1.137405;0.076336;-0.793893;0
40;65759;0.012695;-0.468750;-0.873047;0.885496;-0.160305;-0.893130;0
41;67441;0.009277;-0.460449;-0.876465;1.083969;-0.251908;-1.038168;0
42;69121;0.010254;-0.469238;-0.885742;1.076336;-0.083969;-0.778626;0
43;70810;0.022461;-0.471191;-0.884766;1.099237;-0.152672;-0.916031;0
44;72495;0.014648;-0.467773;-0.870117;1.259542;-0.145038;-0.641221;0
45;74178;0.002930;-0.469727;-0.870605;0.984733;-0.053435;-0.923664;0
46;75859;0.013672;-0.467285;-0.887207;1.137405;0.114504;-0.961832;0
47;77558;0.013672;-0.460449;-0.872559;1.022901;0.053435;-0.969466;0
48;79239;0.014160;-0.456055;-0.876465;0.961832;-0.007634;-0.809160;0
49;80919;0.002441;-0.465820;-0.864746;1.015267;-0.083969;-0.900763;0
50;82603;0.017578;-0.472656;-0.875488;1.053435;-0.305344;-1.007634;0
51;84288;0.017578;-0.473633;-0.876953;0.900763;-0.053435;-0.793893;0
52;85969;0.017578;-0.467285;-0.884277;0.931298;-0.015267;-0.847328;0
53;87649;0.009766;-0.461914;-0.877930;0.717557;-0.038168;-0.748092;0
54;89329;0.009766;-0.468750;-0.879883;1.007634;0.030534;-0.862595;0
55;91011;0.024902;-0.475098;-0.883789;1.045802;-0.160305;-0.702290;0
56;92695;0.017090;-0.467773;-0.860840;1.053435;0.007634;-0.770992;0
57;94377;0.011719;-0.477539;-0.873047;1.000000;0.007634;-0.931298;0
58;96058;0.010254;-0.463867;-0.873047;0.923664;-0.305344;-0.961832;0
59;97754;0.013672;-0.467285;-0.889648;0.740458;-0.206107;-0.923664;0
60;99459;0.012207;-0.467773;-0.860840;0.954198;-0.045802;-1.053435;0
61;101150;0.013672;-0.471191;-0.871094;1.068702;-0.061069;-0.725191;0
62;102836;0.005371;-0.465820;-0.890137;1.091603;0.152672;-0.839695;0
63;104519;0.013672;-0.465820;-0.882812;1.038168;0.053435;-0.854962;0
64;106200;0.008301;-0.470703;-0.887207;1.145038;-0.068702;-0.679389;0
65;107882;0.014160;-0.472656;-0.880371;1.053435;0.045802;-0.786260;0
66;109581;0.005371;-0.459961;-0.880371;1.053435;-0.068702;-1.038168;0
67;111263;0.010254;-0.468750;-0.872559;1.137405;-0.152672;-1.015267;0
68;112950;0.006348;-0.465820;-0.881836;0.900763;0.106870;-0.862595;0
69;114632;0.011230;-0.461426;-0.875977;0.809160;0.198473;-0.954198;0
70;116317;-0.000488;-0.468262;-0.875000;1.137405;0.145038;-0.671756;0
71;118000;0.009277;-0.460938;-0.883789;0.977099;0.290076;-0.778626;0
72;119680;0.016602;-0.463379;-0.891113;0.801527;0.229008;-0.633588;0
73;121361;0.006348;-0.464844;-0.881348;1.015267;-0.152672;-0.916031;0
74;123043;0.013184;-0.472656;-0.886719;1.022901;-0.114504;-0.633588;0
75;124730;0.009766;-0.471191;-0.868652;0.816794;-0.145038;-0.885496;0
76;126414;0.015625;-0.471680;-0.879883;0.908397;-0.091603;-0.854962;0
77;128094;0.015625;-0.466797;-0.869141;1.061069;-0.198473;-1.000000;0
