##########
# 2017-01-31 13:37:34.430775794 +0100 CET Data Acquisition
# Acquisition name: i001
# Acquisition num: 1
# Accelerometer full scale: 8 (4096)
# Gyroscope full scale: 1000 (32)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;0.022461;-0.474609;-0.875000;0.487805;-0.457317;-1.402439;0
2;1688;0.023438;-0.468262;-0.885254;1.097561;-0.121951;-0.945122;0
3;3390;0.002930;-0.468262;-0.884277;1.006098;0.091463;-0.914634;0
4;5078;0.017578;-0.457520;-0.890625;1.097561;0.182927;-0.914634;0
5;6765;0.018066;-0.463379;-0.866211;1.310976;0.152439;-0.670732;0
6;8452;0.004395;-0.455078;-0.870605;1.158537;0.091463;-1.158537;0
7;10140;0.020996;-0.478516;-0.885254;0.670732;-0.243902;-1.067073;0
8;11825;0.002441;-0.482422;-0.882812;0.945122;-0.243902;-0.853659;0
9;13512;0.021484;-0.467285;-0.889648;0.975610;-0.213415;-0.731707;0
10;15200;0.020508;-0.467773;-0.880859;1.036585;0.000000;-0.731707;0
11;16886;0.011230;-0.467285;-0.880371;0.914634;-0.060976;-1.067073;0
12;18574;0.010742;-0.462891;-0.885254;0.823171;-0.060976;-0.884146;0
13;20261;0.012207;-0.467285;-0.894043;1.067073;0.274390;-0.426829;0
14;21947;0.011719;-0.457031;-0.870605;1.707317;0.609756;-0.548780;0
15;23633;0.012207;-0.463867;-0.873535;1.006098;0.335366;-1.006098;0
16;25318;0.009766;-0.472656;-0.873047;0.823171;0.000000;-1.006098;0
17;27004;0.014160;-0.469238;-0.877930;0.670732;-0.152439;-1.036585;0
18;28695;0.012695;-0.463867;-0.882812;0.731707;-0.426829;-1.219512;0
19;30386;0.014648;-0.453613;-0.881836;0.945122;-0.335366;-0.975610;0
20;32073;0.012207;-0.457520;-0.869141;1.036585;-0.182927;-0.701220;0
21;33759;0.005859;-0.438965;-0.887695;0.518293;-0.609756;-1.036585;0
22;35443;0.013672;-0.457520;-0.877441;0.914634;-0.152439;-0.762195;0
23;37129;0.000000;-0.471191;-0.901855;1.250000;0.731707;-0.640244;0
24;38851;0.014160;-0.462891;-0.870117;1.341463;0.609756;-0.975610;0
25;40539;0.020020;-0.463379;-0.869141;1.250000;0.152439;-1.219512;0
26;42227;0.017090;-0.465820;-0.866699;1.036585;-0.030488;-1.189024;0
27;43913;0.006836;-0.464355;-0.895020;0.701220;-0.670732;-0.609756;0
28;45599;0.009766;-0.471680;-0.882324;0.701220;-0.457317;-0.853659;0
29;47332;0.009766;-0.465332;-0.881348;1.006098;-0.274390;-1.097561;0
30;49020;0.011230;-0.468262;-0.893555;1.036585;0.091463;-0.548780;0
31;50706;0.015625;-0.462891;-0.865234;1.250000;0.426829;-0.823171;0
32;52391;0.008301;-0.461914;-0.871582;1.493902;0.213415;-0.975610;0
33;54077;0.009277;-0.465820;-0.873047;1.006098;0.182927;-0.914634;0
34;55764;0.011719;-0.474609;-0.890625;0.884146;-0.060976;-1.067073;0
35;57458;0.013672;-0.463867;-0.874023;0.792683;-0.518293;-1.067073;0
36;59147;0.017578;-0.471680;-0.887207;0.670732;-0.426829;-0.945122;0
37;60833;0.010254;-0.461426;-0.889160;0.548780;-0.365854;-0.823171;0
38;62518;0.013184;-0.467773;-0.875488;0.792683;-0.091463;-0.975610;0
39;64206;0.010254;-0.472656;-0.878906;0.975610;0.121951;-0.762195;0
40;65892;0.014648;-0.472656;-0.877441;1.463415;0.548780;-0.792683;0
41;67596;0.013672;-0.468262;-0.883301;1.341463;0.457317;-0.823171;0
42;69284;0.011719;-0.470703;-0.877930;1.158537;0.152439;-0.945122;0
43;70979;0.011719;-0.469238;-0.877930;1.006098;0.091463;-1.067073;0
44;72684;0.013672;-0.469238;-0.879883;0.792683;-0.426829;-0.792683;0
45;74373;0.017578;-0.472656;-0.875488;0.548780;-0.579268;-0.884146;0
46;76061;0.016113;-0.475586;-0.888184;0.884146;-0.335366;-0.945122;0
47;77748;0.007324;-0.461426;-0.869141;1.006098;-0.396341;-1.097561;0
48;79434;0.010254;-0.472656;-0.871582;1.006098;-0.121951;-0.731707;0
49;81121;0.009766;-0.473145;-0.869629;0.975610;0.335366;-0.792683;0
50;82807;0.015137;-0.468750;-0.887207;1.097561;0.274390;-0.640244;0
51;84492;0.014160;-0.475098;-0.880371;0.945122;0.121951;-0.823171;0
52;86178;0.016113;-0.470215;-0.871094;0.975610;-0.091463;-0.975610;0
53;87882;0.013184;-0.467285;-0.884766;1.128049;-0.121951;-1.036585;0
54;89569;0.005371;-0.464844;-0.874512;0.701220;-0.274390;-1.189024;0
55;91255;0.009277;-0.472656;-0.869629;0.731707;-0.548780;-0.975610;0
56;93116;0.004395;-0.476562;-0.891602;0.731707;-0.396341;-0.853659;0
57;94833;0.002441;-0.470215;-0.895508;1.158537;0.000000;-0.975610;0
58;96668;0.013672;-0.468262;-0.882324;0.975610;0.213415;-0.731707;0
59;98490;0.011719;-0.463379;-0.882324;1.219512;0.304878;-0.914634;0
60;100265;0.014160;-0.471191;-0.886230;1.219512;0.091463;-0.762195;0
61;102021;0.020020;-0.466309;-0.883789;1.067073;-0.274390;-0.823171;0
62;103798;0.012695;-0.465332;-0.876465;0.884146;-0.396341;-1.067073;0
63;105558;0.010742;-0.469238;-0.876953;0.914634;-0.396341;-0.914634;0
64;107393;0.009766;-0.469727;-0.875488;0.914634;-0.121951;-0.884146;0
65;109161;0.004395;-0.467285;-0.879395;0.792683;-0.060976;-0.914634;0
66;110937;0.010254;-0.467773;-0.879883;1.189024;0.000000;-1.128049;0
67;112717;0.017090;-0.473633;-0.890137;1.006098;-0.152439;-0.884146;0
68;114475;0.004883;-0.477051;-0.885742;0.914634;-0.304878;-0.853659;0
69;116274;0.009766;-0.464844;-0.886230;0.975610;-0.121951;-1.097561;0
70;118041;0.014160;-0.470215;-0.892578;1.006098;0.000000;-0.792683;0
71;119816;0.017578;-0.463867;-0.882324;0.701220;0.091463;-0.914634;0
72;121608;0.010254;-0.470703;-0.879883;0.853659;-0.213415;-1.006098;0
73;123368;0.020508;-0.460938;-0.873047;0.853659;-0.243902;-1.219512;0
74;125200;0.015625;-0.462891;-0.871094;1.067073;-0.030488;-1.036585;0
75;126963;0.014160;-0.463867;-0.892578;0.853659;0.091463;-0.579268;0
76;128781;0.009766;-0.467773;-0.880859;0.823171;-0.091463;-0.853659;0
77;130556;0.014648;-0.470703;-0.873535;1.006098;-0.152439;-0.823171;0
78;132314;0.020508;-0.471680;-0.863281;0.853659;0.121951;-0.853659;0
79;134111;0.010254;-0.466797;-0.886719;0.762195;0.000000;-1.067073;0
80;135873;0.007324;-0.472656;-0.875488;0.701220;-0.213415;-0.701220;0
81;137642;0.016113;-0.464844;-0.882812;1.097561;-0.091463;-0.914634;0
82;139438;0.001953;-0.470215;-0.862793;1.158537;-0.060976;-0.914634;0
83;141199;0.020020;-0.465332;-0.886719;1.006098;-0.060976;-0.823171;0
84;142997;0.015137;-0.460449;-0.875000;1.128049;-0.091463;-0.853659;0
85;144758;0.014160;-0.469727;-0.888184;0.945122;0.000000;-1.006098;0
86;146448;0.012695;-0.462891;-0.878906;0.975610;-0.091463;-0.853659;0
87;148143;0.011230;-0.466797;-0.875977;0.945122;0.000000;-0.975610;0
88;149839;0.021973;-0.470215;-0.876953;0.975610;0.121951;-0.762195;0
89;151532;0.007812;-0.466797;-0.873047;1.097561;0.030488;-0.945122;0
90;153226;0.007324;-0.467773;-0.886719;1.250000;0.213415;-0.975610;0
91;154919;0.015625;-0.465820;-0.868652;1.006098;-0.121951;-0.701220;0
92;156613;0.012207;-0.471191;-0.879395;0.945122;-0.243902;-0.792683;0
93;158310;0.017090;-0.471191;-0.888184;0.731707;-0.213415;-0.914634;0
94;160004;0.008301;-0.468262;-0.881348;1.097561;-0.030488;-0.945122;0
95;161704;0.007812;-0.463867;-0.876953;1.158537;0.121951;-0.975610;0
96;163407;0.023926;-0.472656;-0.883301;0.945122;-0.213415;-0.945122;0
97;165099;0.012207;-0.467285;-0.872070;1.341463;-0.091463;-0.853659;0
98;166793;0.013184;-0.472656;-0.879395;0.792683;-0.121951;-1.006098;0
99;168487;0.009766;-0.465332;-0.871094;0.945122;-0.091463;-0.579268;0
100;170192;0.018066;-0.471680;-0.893555;1.097561;-0.091463;-0.914634;0
101;171884;0.011230;-0.465820;-0.871582;1.006098;-0.243902;-1.006098;0
102;173576;0.011230;-0.465820;-0.879883;0.945122;-0.182927;-0.945122;0
103;175270;0.009766;-0.468262;-0.869141;0.975610;-0.091463;-1.067073;0
104;176962;0.011230;-0.474609;-0.882812;0.762195;-0.182927;-0.853659;0
105;178657;0.016602;-0.472656;-0.876465;0.884146;0.060976;-0.640244;0
106;180352;0.016602;-0.469727;-0.869141;1.128049;-0.060976;-1.006098;0
107;182049;0.013672;-0.465820;-0.877930;0.853659;0.060976;-0.853659;0
108;183739;0.015137;-0.466797;-0.884277;0.823171;-0.213415;-0.792683;0
109;185431;0.011719;-0.475098;-0.882324;0.975610;-0.274390;-0.945122;0
110;187126;0.018066;-0.466309;-0.898926;0.792683;0.030488;-0.640244;0
111;188824;0.009277;-0.469238;-0.878906;1.006098;0.060976;-0.792683;0
112;190517;0.009766;-0.470215;-0.879395;1.006098;0.000000;-0.701220;0
113;192212;0.015137;-0.461914;-0.868652;0.884146;-0.060976;-0.914634;0
114;194024;0.011719;-0.462891;-0.872559;1.006098;-0.091463;-0.884146;0
115;195741;0.008301;-0.466797;-0.876953;0.975610;0.060976;-0.701220;0
116;197462;0.000000;-0.468750;-0.873535;1.067073;0.152439;-0.914634;0
117;199158;0.003906;-0.478027;-0.879395;0.945122;-0.182927;-0.975610;0
118;200845;0.006836;-0.464355;-0.877930;0.884146;0.030488;-0.853659;0
119;202531;0.011719;-0.460938;-0.872070;0.792683;-0.060976;-0.701220;0
120;204222;0.012207;-0.460449;-0.878906;0.975610;-0.030488;-1.006098;0
121;205907;0.011719;-0.476562;-0.877441;1.006098;-0.152439;-1.067073;0
