##########
# 2017-02-15 16:48:04.256092275 +0100 CET Data Acquisition
# Acquisition name: i001
# Acquisition num: 17
# Accelerometer full scale: 8 (4096)
# Gyroscope full scale: 250 (131)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;0.021484;-0.293945;-0.954102;1.000000;-0.045802;-0.748092;0
2;1961;0.012695;-0.292969;-0.955566;0.870229;-0.229008;-1.106870;0
3;4427;0.019043;-0.289062;-0.965332;1.076336;-0.389313;-0.854962;0
4;6388;0.023438;-0.291992;-0.943359;0.870229;-0.198473;-0.946565;0
5;8854;0.017578;-0.294922;-0.948730;0.938931;-0.076336;-0.931298;0
6;10818;0.015625;-0.294434;-0.964355;0.977099;-0.229008;-1.145038;0
7;13288;0.016113;-0.293945;-0.967285;0.709924;-0.244275;-0.885496;0
8;15249;0.014648;-0.288574;-0.958496;1.053435;-0.190840;-0.931298;0
9;17711;0.002930;-0.289062;-0.955078;1.053435;-0.282443;-1.076336;0
10;19669;0.020508;-0.293945;-0.946777;0.862595;-0.221374;-0.938931;0
11;22146;0.018555;-0.288086;-0.956543;1.053435;0.022901;-0.954198;0
12;24119;0.019043;-0.279297;-0.950195;1.045802;-0.160305;-1.083969;0
13;26591;0.022949;-0.290039;-0.944336;1.030534;-0.183206;-1.007634;0
14;28552;0.009766;-0.291504;-0.952637;1.007634;-0.229008;-1.083969;0
15;31021;0.012695;-0.288086;-0.950195;0.961832;-0.198473;-1.000000;0
16;32985;0.018066;-0.282715;-0.958008;1.160305;-0.022901;-0.877863;0
17;35446;0.018066;-0.288086;-0.946289;0.931298;-0.244275;-1.045802;0
18;37404;0.012207;-0.289551;-0.957520;0.885496;-0.236641;-0.854962;0
19;39963;0.015137;-0.287598;-0.952148;0.778626;-0.083969;-0.992366;0
20;41948;0.014648;-0.279297;-0.964355;1.015267;0.000000;-0.954198;0
21;44523;0.015137;-0.296387;-0.958008;1.083969;-0.297710;-0.954198;0
22;46484;0.015625;-0.285156;-0.952148;1.106870;-0.061069;-1.053435;0
23;48945;0.014160;-0.292480;-0.952148;1.053435;-0.099237;-1.160305;0
24;50915;0.022461;-0.289062;-0.943359;1.152672;-0.099237;-0.954198;0
25;53385;0.012695;-0.284668;-0.957520;0.770992;-0.312977;-0.961832;0
26;55343;0.017090;-0.293945;-0.964355;1.022901;0.007634;-0.870229;0
27;57806;0.009766;-0.287598;-0.937500;0.977099;-0.106870;-0.625954;0
28;59765;0.013672;-0.291504;-0.942871;1.114504;-0.259542;-0.908397;0
29;62245;0.021973;-0.292969;-0.947754;0.877863;0.099237;-0.946565;0
30;64209;0.021973;-0.286621;-0.951660;0.862595;-0.259542;-0.969466;0
31;66673;0.010742;-0.283691;-0.948242;1.083969;-0.022901;-0.885496;0
32;68637;0.016113;-0.288574;-0.946777;1.099237;-0.259542;-0.908397;0
33;71105;0.020996;-0.297852;-0.948730;1.221374;-0.114504;-1.030534;0
34;73070;0.014160;-0.287598;-0.955078;0.877863;0.000000;-0.770992;0
35;75536;0.018066;-0.286133;-0.950195;1.129771;-0.259542;-0.648855;0
36;77498;0.022949;-0.293945;-0.954590;0.923664;-0.450382;-1.145038;0
37;79960;0.012695;-0.282227;-0.968262;0.984733;-0.053435;-1.091603;0
38;81921;0.006836;-0.282715;-0.968262;0.839695;-0.190840;-0.977099;0
39;84389;0.015625;-0.285645;-0.958008;1.007634;-0.152672;-1.183206;0
40;86350;0.014648;-0.288086;-0.958496;0.885496;-0.167939;-1.030534;0
41;88812;0.014160;-0.293457;-0.962402;0.969466;0.061069;-0.961832;0
42;90780;0.013672;-0.297363;-0.954102;1.129771;-0.236641;-0.984733;0
43;93251;0.017578;-0.291504;-0.953125;1.145038;-0.259542;-0.885496;0
44;95214;0.018066;-0.291992;-0.965820;1.045802;-0.076336;-1.290076;0
45;97675;0.016113;-0.288086;-0.942383;0.977099;-0.068702;-0.969466;0
46;99635;0.015625;-0.299805;-0.950195;1.061069;-0.229008;-0.969466;0
47;102100;0.008301;-0.288574;-0.958008;1.068702;-0.167939;-0.908397;0
48;104132;0.012207;-0.292969;-0.947266;1.122137;0.030534;-0.847328;0
49;106599;0.019043;-0.288574;-0.958008;1.007634;-0.251908;-1.053435;0
50;108560;0.016602;-0.291016;-0.950195;0.900763;-0.129771;-0.664122;0
51;111029;0.016113;-0.288574;-0.957520;1.045802;-0.106870;-1.038168;0
52;112991;0.016113;-0.292480;-0.954102;0.755725;-0.206107;-1.000000;0
53;115454;0.015137;-0.290039;-0.956543;1.061069;0.083969;-1.175573;0
54;117412;0.015625;-0.284180;-0.945801;1.290076;-0.190840;-1.030534;0
55;119877;0.012695;-0.294922;-0.942871;0.938931;-0.022901;-0.854962;0
56;121838;0.025391;-0.290039;-0.942871;1.061069;-0.053435;-0.931298;0
57;124303;0.015625;-0.295410;-0.953613;1.183206;-0.297710;-0.984733;0
58;126269;0.017578;-0.288574;-0.944824;1.045802;-0.259542;-0.511450;0
59;128784;0.022949;-0.282227;-0.962891;1.076336;-0.251908;-0.908397;0
60;130756;0.015625;-0.296387;-0.946777;0.877863;-0.328244;-0.908397;0
61;133218;0.013672;-0.295410;-0.950195;0.916031;-0.152672;-1.190840;0
62;135178;0.022949;-0.286621;-0.944336;1.114504;-0.106870;-1.137405;0
63;137644;0.009766;-0.287598;-0.957520;0.908397;-0.221374;-0.877863;0
64;139604;0.021973;-0.288086;-0.952637;1.137405;-0.282443;-1.297710;0
65;142070;0.020020;-0.290527;-0.946777;0.816794;-0.160305;-0.755725;0
66;144017;0.013672;-0.286621;-0.946777;0.969466;-0.190840;-0.954198;0
67;146461;0.017578;-0.293945;-0.958008;1.229008;-0.183206;-0.969466;0
68;148404;0.013672;-0.297852;-0.955078;1.229008;-0.160305;-1.091603;0
69;150861;0.012695;-0.286133;-0.951660;0.816794;-0.167939;-1.015267;0
70;152881;0.013184;-0.279785;-0.951660;0.870229;-0.221374;-0.854962;0
71;155454;0.021973;-0.291016;-0.954102;0.954198;-0.114504;-1.045802;0
72;157430;0.019043;-0.300293;-0.961426;0.854962;-0.190840;-0.709924;0
73;159894;0.020996;-0.290527;-0.943359;1.282443;-0.175573;-0.900763;0
74;161853;0.012695;-0.283203;-0.952637;0.931298;-0.267176;-1.068702;0
75;164317;0.024414;-0.289062;-0.943848;0.923664;-0.137405;-0.839695;0
76;166277;0.015625;-0.284668;-0.952637;0.992366;-0.053435;-1.022901;0
77;168737;0.020996;-0.288574;-0.945801;1.083969;-0.114504;-1.145038;0
78;170694;0.011230;-0.290039;-0.944824;0.931298;0.000000;-1.007634;0
79;173161;0.016602;-0.283203;-0.944824;1.190840;-0.152672;-0.954198;0
80;175120;0.013672;-0.291504;-0.945312;1.282443;-0.236641;-1.030534;0
81;177577;0.012207;-0.286133;-0.961426;1.206107;-0.099237;-0.954198;0
82;179534;0.013672;-0.287598;-0.950195;1.061069;-0.167939;-1.152672;0
83;181995;0.012695;-0.291016;-0.947754;1.038168;-0.312977;-0.938931;0
84;183952;0.008301;-0.282227;-0.942383;1.091603;-0.297710;-0.946565;0
85;186420;0.023438;-0.293945;-0.951660;1.083969;-0.183206;-0.938931;0
86;188379;0.015625;-0.293945;-0.945801;1.213740;-0.099237;-1.091603;0
87;190848;0.014160;-0.291992;-0.947266;0.877863;-0.213740;-0.870229;0
88;192813;0.010254;-0.288086;-0.944336;1.061069;-0.160305;-0.946565;0
89;195277;0.021973;-0.287598;-0.939941;1.175573;-0.312977;-0.832061;0
90;197233;0.020508;-0.283203;-0.952148;0.893130;-0.030534;-1.045802;0
91;199691;0.014160;-0.286621;-0.941895;1.122137;-0.351145;-0.793893;0
92;201651;0.014648;-0.286621;-0.951172;0.839695;-0.061069;-1.099237;0
93;204116;0.016602;-0.291016;-0.976562;1.244275;-0.122137;-1.137405;0
94;206077;0.011719;-0.293945;-0.953613;0.854962;0.068702;-0.893130;0
95;208541;0.006836;-0.286621;-0.952148;1.160305;-0.145038;-0.984733;0
96;210501;0.017090;-0.291992;-0.958496;1.221374;-0.213740;-1.007634;0
97;212971;0.011719;-0.292969;-0.952148;1.091603;-0.122137;-0.961832;0
98;214929;0.020996;-0.289062;-0.953613;0.893130;-0.328244;-0.984733;0
99;217391;0.022949;-0.282715;-0.952637;1.106870;-0.221374;-0.938931;0
100;219347;0.011230;-0.289551;-0.954102;1.106870;0.099237;-1.175573;0
101;221808;0.015625;-0.295410;-0.945312;0.992366;-0.190840;-0.977099;0
102;223766;0.010742;-0.291992;-0.942871;0.923664;-0.083969;-0.885496;0
103;226227;0.014648;-0.291016;-0.947754;1.053435;-0.030534;-0.778626;0
104;228185;0.010254;-0.294434;-0.955566;0.870229;-0.213740;-1.160305;0
105;230661;0.016113;-0.290527;-0.935059;0.885496;0.053435;-0.961832;0
106;232654;0.015137;-0.293457;-0.960938;1.099237;-0.206107;-0.648855;0
107;235117;0.020996;-0.291016;-0.956543;1.206107;-0.152672;-1.030534;0
108;237074;0.009766;-0.288086;-0.950195;1.129771;-0.267176;-0.839695;0
109;239536;0.018555;-0.292969;-0.958984;0.877863;0.022901;-0.992366;0
110;241494;0.029297;-0.295898;-0.953613;0.992366;-0.244275;-0.832061;0
111;243956;0.016602;-0.286621;-0.943359;1.106870;-0.083969;-1.022901;0
112;245918;0.017578;-0.285645;-0.943848;1.175573;-0.244275;-0.992366;0
113;248529;0.024414;-0.288574;-0.957031;1.000000;-0.152672;-0.938931;0
114;250488;0.020508;-0.291992;-0.940918;0.893130;-0.137405;-0.900763;0
115;252961;0.023438;-0.291992;-0.946777;0.984733;0.129771;-1.312977;0
116;254919;0.012695;-0.290527;-0.951172;0.977099;-0.145038;-1.007634;0
117;257382;0.014648;-0.279785;-0.955566;0.740458;-0.312977;-0.984733;0
118;259343;0.015137;-0.286621;-0.958008;1.007634;-0.106870;-0.923664;0
119;261807;0.022949;-0.278320;-0.941406;0.954198;-0.328244;-0.877863;0
120;263768;0.023438;-0.278320;-0.956055;1.259542;0.022901;-0.732824;0
121;266235;0.021484;-0.289062;-0.953125;1.038168;-0.282443;-0.709924;0
122;268192;0.018555;-0.295410;-0.947266;1.206107;-0.320611;-1.091603;0
123;270658;0.010742;-0.292480;-0.941406;1.015267;-0.137405;-1.022901;0
124;272646;0.018066;-0.286133;-0.953125;1.030534;-0.183206;-1.038168;0
125;275106;0.016602;-0.292969;-0.946777;0.938931;-0.221374;-1.145038;0
126;277064;0.010742;-0.282227;-0.945801;1.091603;-0.213740;-0.854962;0
127;279523;0.021484;-0.293457;-0.941406;0.763359;0.015267;-0.786260;0
128;281482;0.020996;-0.293945;-0.956543;0.877863;-0.267176;-1.083969;0
129;283941;0.021484;-0.295898;-0.954102;0.931298;-0.198473;-0.984733;0
130;285902;0.012207;-0.291992;-0.955078;0.992366;-0.404580;-1.061069;0
131;288361;0.015137;-0.285156;-0.945801;1.038168;0.045802;-1.045802;0
132;290319;0.021484;-0.285645;-0.966309;0.832061;-0.511450;-0.824427;0
133;292795;0.020996;-0.290039;-0.939453;1.053435;0.022901;-0.938931;0
134;294752;0.019043;-0.286133;-0.950195;1.045802;-0.129771;-1.068702;0
135;297215;0.020508;-0.283691;-0.952637;1.000000;-0.290076;-0.916031;0
136;299171;0.010742;-0.291992;-0.960449;1.229008;-0.083969;-1.022901;0
137;301631;0.018066;-0.285156;-0.958008;0.801527;-0.076336;-0.793893;0
138;303588;0.019043;-0.289551;-0.958496;0.748092;-0.015267;-0.816794;0
139;306051;0.013672;-0.289551;-0.952148;1.061069;-0.160305;-1.229008;0
140;308012;0.012207;-0.290039;-0.944824;1.022901;-0.053435;-1.206107;0
141;310471;0.018066;-0.299805;-0.948730;0.977099;0.000000;-0.938931;0
142;312441;0.020020;-0.288086;-0.953613;0.847328;-0.183206;-0.908397;0
143;314902;0.014648;-0.286621;-0.950195;0.839695;-0.206107;-0.740458;0
144;316866;0.011230;-0.286133;-0.956055;1.022901;0.145038;-0.877863;0
145;319324;0.012695;-0.298828;-0.949707;1.198473;-0.091603;-1.007634;0
146;321283;0.019043;-0.283691;-0.942871;0.908397;-0.167939;-1.099237;0
147;323742;0.018555;-0.282227;-0.951660;0.885496;-0.198473;-0.717557;0
148;325700;0.020996;-0.284668;-0.958984;0.946565;-0.335878;-0.786260;0
149;328163;0.014160;-0.285645;-0.951172;1.137405;0.022901;-1.061069;0
150;330121;0.020508;-0.286621;-0.944824;1.259542;-0.259542;-1.167939;0
151;332595;0.012695;-0.295410;-0.955566;0.893130;-0.106870;-0.885496;0
152;334557;0.020508;-0.292480;-0.950684;0.954198;-0.320611;-1.099237;0
153;337039;0.018066;-0.284180;-0.951660;1.106870;-0.022901;-0.809160;0
154;338996;0.027344;-0.288574;-0.958496;0.961832;-0.251908;-1.129771;0
155;341455;0.006836;-0.295410;-0.942871;0.809160;-0.175573;-0.969466;0
156;343420;0.015625;-0.290527;-0.960938;1.122137;-0.167939;-1.167939;0
157;345886;0.015137;-0.286133;-0.958008;0.931298;-0.229008;-0.809160;0
158;347868;0.012207;-0.289062;-0.960938;0.977099;-0.015267;-1.015267;0
159;350344;0.014648;-0.286133;-0.949707;1.312977;0.114504;-0.900763;0
160;352319;0.018066;-0.285156;-0.958008;1.442748;-0.312977;-1.099237;0
161;354783;0.011719;-0.290039;-0.958008;1.030534;-0.015267;-0.931298;0
162;356745;0.021484;-0.287598;-0.947266;0.954198;-0.160305;-0.984733;0
163;359206;0.011719;-0.292480;-0.951660;1.129771;0.129771;-1.000000;0
164;361167;0.018066;-0.288574;-0.936523;0.778626;-0.229008;-1.022901;0
165;363627;0.011230;-0.289551;-0.940918;1.114504;0.152672;-1.030534;0
166;365585;0.017578;-0.278320;-0.963867;0.961832;-0.229008;-0.961832;0
167;368056;0.023438;-0.290039;-0.952637;0.946565;-0.366412;-0.809160;0
168;370016;0.010742;-0.283203;-0.946777;0.931298;0.091603;-1.045802;0
169;372490;0.021484;-0.291016;-0.964355;1.274809;-0.129771;-1.053435;0
170;374450;0.015137;-0.290527;-0.958984;1.160305;0.091603;-0.748092;0
171;376914;0.020508;-0.290527;-0.953125;0.854962;-0.038168;-0.984733;0
172;378873;0.017578;-0.285645;-0.954590;1.022901;-0.190840;-0.931298;0
173;381334;0.024902;-0.289551;-0.954590;1.160305;-0.183206;-0.938931;0
174;383293;0.019043;-0.293945;-0.954590;1.190840;-0.091603;-1.000000;0
175;385754;0.022949;-0.292480;-0.954102;0.969466;-0.114504;-0.801527;0
176;387717;0.017578;-0.293457;-0.960938;0.931298;-0.206107;-0.877863;0
177;390184;0.010742;-0.290039;-0.955566;0.992366;-0.206107;-1.022901;0
178;392152;0.021973;-0.291016;-0.957520;0.870229;-0.198473;-0.877863;0
