##########
# 2016-12-09 12:54:26.542162348 +0100 CET Data Acquisition
# Acquisition name: event
# Acquisition num: 0
# Accelerometer full scale: 2 (16384)
# Gyroscope full scale: 250 (131)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;1691;-0.047363;-0.027344;1.022949;0.595420;0.122137;-0.519084;1
2;3427;-0.041016;-0.024414;1.023438;0.717557;-0.206107;-0.725191;1
3;5101;-0.042480;-0.022949;1.035645;0.702290;-0.473282;-0.786260;1
4;6761;-0.047363;-0.011719;1.022461;0.587786;-0.267176;-0.725191;1
5;8439;-0.046387;-0.016113;1.020508;0.404580;-0.213740;-0.778626;1
6;10101;-0.047852;-0.016113;1.029297;0.519084;-0.129771;-0.641221;1
7;11766;-0.047363;-0.019531;1.027344;0.633588;-0.213740;-0.916031;1
8;13435;-0.048340;-0.019043;1.022461;0.770992;-0.473282;-0.603053;1
9;15095;-0.048340;-0.030273;1.007812;0.778626;-0.091603;-0.679389;1
10;16753;-0.043945;-0.020996;1.022461;0.549618;-0.206107;-0.419847;1
11;18409;-0.038086;-0.011230;1.032227;0.954198;-0.091603;-0.297710;1
12;20066;-0.043945;-0.024414;1.020020;1.030534;-0.114504;-0.564885;1
13;21725;-0.034180;-0.016113;1.022949;0.854962;-0.259542;-0.519084;1
14;23393;-0.049316;-0.021973;1.021973;0.671756;-0.259542;-0.801527;1
15;25054;-0.043457;-0.016602;1.018555;0.702290;-0.305344;-0.778626;1
16;26712;-0.041992;-0.018555;1.040039;0.885496;-0.045802;-0.740458;1
17;28369;-0.030762;-0.026367;1.014160;0.793893;-0.068702;-0.564885;1
18;30026;-0.042969;-0.022949;1.033203;0.748092;-0.175573;-0.458015;1
19;31694;-0.047363;-0.020508;1.028809;0.793893;-0.381679;-0.732824;1
20;33359;-0.046387;-0.019531;1.022949;0.854962;-0.320611;-0.694656;1
21;35016;-0.039551;-0.023438;1.023926;0.770992;-0.251908;-0.511450;1
