##########
# 2016-11-15 10:08:56.110810919 +0100 CET Data Acquisition
# Acquisition name: event
# Acquisition num: 2
# Accelerometer full scale: 2
# Gyroscope full scale: 250
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
0;1957;0.055908;1.008301;0.026611;-2.198473;0.740458;-0.755725
1;3711;0.057861;1.008789;0.028564;-1.870229;0.656489;-0.564885
2;5752;0.058594;1.004150;0.021973;-1.732824;0.473282;-0.740458
3;7514;0.060791;1.004150;0.026367;-1.473282;0.679389;-1.221374
4;9598;0.055176;1.002686;0.026123;-1.580153;0.335878;-1.717557
5;11341;0.056641;1.004639;0.021484;-1.473282;0.076336;-1.671756
6;13440;0.052490;1.007324;0.030029;-1.129771;0.053435;-1.931298
7;15179;0.048584;1.006836;0.021973;-1.175573;0.236641;-1.427481
8;17252;0.050049;1.005615;0.025635;-0.694656;-0.061069;-1.702290
9;19006;0.050049;1.002441;0.025879;-0.251908;-0.099237;-1.519084
10;21004;0.054688;1.010010;0.031738;0.114504;0.030534;-1.671756
11;22843;0.049805;1.004639;0.035645;0.374046;0.343511;-1.664122
12;24855;0.051758;1.004883;0.030273;1.022901;-0.129771;-1.633588
13;26583;0.046631;1.006348;0.035889;1.358779;0.053435;-1.412214
14;28703;0.051025;1.004639;0.025879;1.862595;-0.068702;-1.229008
15;30444;0.049316;1.001465;0.028564;2.152672;0.061069;-1.297710
16;32447;0.048340;1.006836;0.030762;2.480916;-0.145038;-1.137405
17;34183;0.052246;1.005615;0.025879;3.129771;0.175573;-0.755725
18;36262;0.049072;1.004150;0.029785;3.526718;-0.251908;-0.725191
19;38012;0.047119;1.006592;0.026123;3.946565;0.007634;-0.770992
20;40050;0.049316;1.004395;0.024902;4.122137;-0.061069;-0.328244
21;41785;0.050781;1.006592;0.027832;3.908397;0.022901;-0.381679
22;43890;0.051270;1.013184;0.018066;4.419847;0.137405;-0.526718
23;45625;0.055908;1.009766;0.020508;3.908397;0.038168;-0.427481
24;47720;0.052979;1.011719;0.020508;3.854962;0.152672;-0.358779
25;49453;0.051758;1.011475;0.024902;3.809160;-0.007634;-0.664122
26;51443;0.054199;1.012451;0.027832;3.389313;0.206107;-0.862595
27;53255;0.053955;1.004883;0.020264;3.748092;-0.305344;-0.923664
28;55349;0.052490;1.005859;0.029785;4.312977;0.022901;-1.145038
29;57078;0.051270;1.009521;0.028809;4.206107;0.053435;-1.442748
30;59099;0.048096;1.010498;0.017822;4.038168;0.183206;-1.290076
31;60852;0.051025;1.011475;0.016357;3.679389;0.236641;-1.190840
32;62862;0.052002;1.008545;0.018311;3.503817;0.053435;-1.465649
33;64613;0.055908;1.015869;0.017090;3.297710;0.083969;-1.152672
34;66697;0.054443;1.016113;0.017090;2.992366;0.259542;-1.152672
35;68427;0.051270;1.014404;0.016113;2.290076;0.213740;-1.190840
36;70523;0.053955;1.013672;0.023193;1.610687;0.351145;-1.007634
37;72257;0.058350;1.014160;0.013672;1.396947;0.328244;-0.832061
38;74393;0.056152;1.013672;0.019775;1.282443;0.244275;-1.038168
39;76122;0.056152;1.009766;0.027100;0.320611;0.160305;-1.389313
40;78170;0.054443;1.010254;0.024414;0.297710;0.389313;-1.442748
41;79905;0.058350;1.014404;0.023438;0.083969;0.557252;-1.213740
42;81906;0.051514;1.013672;0.019531;-0.389313;0.351145;-1.473282
43;83675;0.052979;1.010986;0.019043;-0.610687;0.435115;-1.557252
44;85769;0.052490;1.008545;0.021729;-1.145038;0.648855;-1.198473
45;87531;0.055176;1.007080;0.020264;-1.312977;0.610687;-1.229008
46;89540;0.053467;1.007080;0.021729;-1.213740;0.687023;-1.259542
47;91273;0.056152;1.000977;0.019775;-1.312977;0.770992;-1.167939
48;93352;0.053223;1.003906;0.023438;-1.580153;0.786260;-0.748092
49;95093;0.049316;1.003906;0.022949;-1.137405;0.809160;-0.633588
50;97096;0.053223;1.004639;0.017578;-1.748092;0.618321;-0.396947
51;98844;0.052979;1.010742;0.023193;-1.427481;0.702290;-0.595420
52;100891;0.053711;1.009033;0.025146;-0.946565;0.900763;-0.374046
53;102640;0.052490;1.006348;0.019043;-1.389313;0.839695;-0.587786
54;104786;0.056885;1.004883;0.024414;-1.213740;0.923664;-0.503817
55;106514;0.053711;1.008057;0.028564;-1.129771;1.007634;-0.465649
56;108520;0.052246;1.008789;0.023926;-1.053435;0.931298;-0.389313
57;110291;0.053955;1.005127;0.030762;-0.503817;0.893130;-0.343511
58;115618;0.057861;1.010742;0.020264;-0.114504;0.549618;-0.351145
59;117364;0.055908;1.009033;0.027100;0.312977;0.595420;-0.549618
60;119725;0.056152;1.009766;0.029785;0.412214;0.282443;-0.335878
61;121453;0.058594;1.009033;0.027832;0.564885;0.312977;-0.267176
62;123456;0.052734;1.009521;0.026611;1.007634;0.007634;-0.068702
63;125202;0.052246;1.006104;0.022705;1.068702;-0.076336;-0.122137
64;127296;0.057617;1.010742;0.028564;1.160305;-0.038168;-0.053435
65;129050;0.052734;1.007568;0.031250;1.366412;-0.099237;0.091603
66;131053;0.054688;1.007324;0.023193;1.251908;-0.190840;0.198473
67;132848;0.048584;1.007080;0.024414;1.702290;-0.114504;0.190840
68;135021;0.057373;1.007080;0.013672;1.374046;-0.244275;0.236641
69;136749;0.057617;1.004883;0.024658;1.664122;-0.061069;0.366412
70;138756;0.058838;1.012451;0.022705;1.351145;-0.404580;0.656489
71;140486;0.057861;1.008545;0.024902;1.183206;-0.160305;0.374046
72;142593;0.053467;1.008545;0.026123;0.656489;-0.114504;0.305344
73;144326;0.054688;1.008789;0.020752;0.549618;-0.381679;0.358779
74;146410;0.055664;1.007568;0.025146;0.541985;-0.541985;0.366412
75;148144;0.053223;1.007812;0.024902;0.587786;-0.526718;0.534351
76;150248;0.052246;1.011475;0.025635;0.839695;-0.694656;0.244275
77;151983;0.054688;1.004639;0.025635;1.122137;-0.435115;-0.015267
78;154041;0.054688;1.000977;0.029541;1.557252;-0.206107;0.076336
79;155782;0.057129;1.010010;0.019287;1.648855;-0.343511;-0.114504
80;157805;0.053711;1.008545;0.027832;1.778626;-0.259542;-0.099237
81;159539;0.052734;1.005371;0.022461;1.931298;-0.251908;-0.236641
82;161542;0.051514;1.010010;0.016113;2.083969;-0.290076;0.229008
83;163343;0.050781;1.010742;0.025391;2.068702;-0.106870;0.396947
84;165435;0.054932;1.010498;0.025635;2.145038;0.083969;-0.175573
85;167171;0.057129;1.007568;0.022705;1.854962;0.015267;-0.343511
86;169275;0.058105;1.006592;0.017090;1.618321;0.244275;-0.358779
87;171004;0.055176;1.008057;0.016357;1.564885;0.328244;-0.328244
88;173066;0.055664;1.005615;0.026123;1.114504;0.320611;-0.549618
89;174911;0.053955;1.009521;0.028320;1.274809;0.465649;-0.793893
90;176923;0.055664;1.008057;0.025146;0.961832;0.236641;-0.969466
91;178653;0.051270;1.005615;0.021240;1.083969;0.267176;-0.801527
92;180759;0.052002;1.007812;0.022217;1.045802;0.312977;-0.847328
