##########
# 2016-11-22 10:03:52.738390235 +0100 CET Data Acquisition
# Acquisition name: event
# Acquisition num: 51
# Accelerometer full scale: 2 (16384.000000)
# Gyroscope full scale: 250 (131.000000)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
0;1959;0.056152;0.163086;1.008301;0.190840;0.083969;-0.358779
1;4050;0.052734;0.169434;1.011719;1.000000;-0.076336;-0.480916
2;5767;0.061035;0.163574;1.018555;1.145038;0.061069;-0.740458
3;7758;0.054688;0.170410;1.019043;1.625954;-0.221374;-0.740458
4;9506;0.061523;0.168457;1.022949;1.984733;-0.503817;-0.572519
5;11668;0.056152;0.168945;1.020020;2.206107;-0.564885;-0.763359
6;13399;0.063965;0.166504;1.006348;2.625954;-0.687023;-0.587786
7;15413;0.061035;0.167969;1.015137;2.885496;-0.564885;-0.694656
8;17161;0.056641;0.157227;1.016602;2.770992;-0.847328;-0.480916
9;19285;0.064941;0.162598;1.022461;3.190840;-1.053435;-0.832061
10;21023;0.062012;0.165039;1.017090;3.160305;-0.832061;-0.435115
11;23032;0.061523;0.167480;1.020020;3.335878;-0.893130;-0.610687
12;24771;0.060059;0.153320;1.017578;3.274809;-1.030534;-0.458015
13;26780;0.048828;0.166992;0.997070;3.274809;-0.862595;-0.625954
14;28552;0.059570;0.167480;1.031738;3.160305;-0.977099;-0.526718
15;30693;0.057617;0.159180;1.017578;3.167939;-0.885496;-0.450382
16;32435;0.062988;0.171875;1.007812;3.007634;-1.106870;-0.572519
17;34449;0.049805;0.170410;1.015625;2.786260;-0.977099;-0.511450
18;36182;0.060547;0.168945;1.012695;2.725191;-0.854962;-0.389313
19;38272;0.057617;0.167969;1.016602;2.320611;-0.404580;-0.465649
20;40141;0.059570;0.162109;1.019531;2.137405;-0.656489;-0.603053
21;42256;0.059570;0.174316;1.021484;1.496183;-0.320611;-0.442748
22;43997;0.056152;0.170410;1.018555;1.832061;-0.236641;-0.519084
23;46009;0.050293;0.162109;1.006348;1.549618;-0.198473;-0.572519
24;47749;0.059570;0.154297;1.010254;1.335878;0.167939;-0.786260
25;49878;0.062012;0.162598;1.005371;1.305344;0.213740;-0.679389
26;51625;0.060059;0.168457;1.002441;1.198473;0.015267;-0.450382
27;53644;0.057617;0.161133;1.016602;0.824427;0.137405;-0.564885
