##########
# 2017-01-31 12:45:52.625630744 +0100 CET Data Acquisition
# Acquisition name: i001
# Acquisition num: 1
# Accelerometer full scale: 8 (4096)
# Gyroscope full scale: 1000 (32)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;-0.020996;-0.446777;-0.890137;1.280488;-0.182927;-0.914634;0
2;1688;-0.025391;-0.453613;-0.882324;1.006098;-0.213415;-0.823171;0
3;3372;-0.022461;-0.451172;-0.899902;0.884146;-0.121951;-0.945122;0
4;5057;-0.018555;-0.456055;-0.893066;0.975610;0.121951;-1.036585;0
5;6741;-0.031250;-0.441406;-0.881836;0.914634;0.274390;-0.762195;0
6;8423;-0.020996;-0.452148;-0.894043;0.914634;0.121951;-0.884146;0
7;10105;-0.027832;-0.448242;-0.873047;0.945122;-0.091463;-0.792683;0
8;11791;-0.018066;-0.441406;-0.883301;1.189024;0.030488;-0.792683;0
9;13480;-0.020508;-0.447266;-0.880859;1.280488;-0.121951;-0.701220;0
10;15166;-0.029785;-0.445801;-0.877930;0.975610;0.000000;-0.945122;0
11;16848;-0.025391;-0.444336;-0.881348;0.945122;0.182927;-1.158537;0
12;18530;-0.025391;-0.451660;-0.874023;0.975610;0.000000;-0.762195;0
13;20211;-0.022949;-0.448242;-0.876953;1.006098;-0.121951;-0.823171;0
14;21897;-0.026367;-0.453613;-0.886230;0.823171;-0.152439;-0.609756;0
15;23583;-0.019531;-0.450684;-0.887695;0.670732;0.213415;-0.640244;0
16;25264;-0.025391;-0.452148;-0.881348;0.762195;-0.243902;-1.006098;0
17;26947;-0.025879;-0.448730;-0.885254;1.006098;0.060976;-0.975610;0
18;28633;-0.022949;-0.450684;-0.884766;1.067073;0.243902;-0.640244;0
19;30321;-0.024902;-0.450195;-0.877441;1.036585;-0.030488;-0.823171;0
20;32066;-0.024414;-0.444336;-0.893555;1.067073;0.060976;-0.853659;0
21;33750;-0.017578;-0.457031;-0.881348;1.189024;-0.091463;-0.853659;0
22;35432;-0.023438;-0.453613;-0.873535;0.975610;0.121951;-0.762195;0
23;37115;-0.023438;-0.443848;-0.874512;1.219512;-0.121951;-1.006098;0
24;38800;-0.028809;-0.453125;-0.884277;1.189024;0.030488;-0.945122;0
25;40488;-0.029297;-0.455566;-0.875000;1.189024;0.182927;-0.762195;0
26;42175;-0.021484;-0.458984;-0.877441;0.914634;-0.030488;-0.945122;0
27;43859;-0.028320;-0.451172;-0.896484;1.097561;-0.243902;-0.823171;0
28;45542;-0.020508;-0.451172;-0.901855;0.945122;0.121951;-0.823171;0
29;47230;-0.024902;-0.445312;-0.880371;0.823171;0.274390;-1.189024;0
30;48915;-0.025391;-0.454590;-0.887695;0.975610;0.243902;-0.945122;0
31;50597;-0.023438;-0.448730;-0.894043;1.006098;-0.121951;-0.792683;0
32;52284;-0.028320;-0.450684;-0.875977;1.189024;0.060976;-1.036585;0
33;53968;-0.023438;-0.450195;-0.890137;0.792683;0.121951;-1.006098;0
34;55654;-0.021484;-0.451660;-0.890137;1.006098;0.091463;-1.128049;0
35;57339;-0.023438;-0.449707;-0.896973;1.036585;0.000000;-0.914634;0
36;59022;-0.020508;-0.447754;-0.880859;0.975610;-0.182927;-0.731707;0
37;60705;-0.033691;-0.453125;-0.888184;1.310976;0.000000;-1.006098;0
38;62392;-0.026367;-0.456543;-0.887207;1.219512;0.152439;-1.036585;0
39;64083;-0.019531;-0.446289;-0.880859;0.975610;0.000000;-0.975610;0
40;65781;-0.022461;-0.450195;-0.884277;1.219512;-0.030488;-0.975610;0
41;67475;-0.016113;-0.458496;-0.891602;0.975610;-0.121951;-0.731707;0
42;69164;-0.021484;-0.445312;-0.869141;0.914634;0.152439;-0.975610;0
43;70852;-0.033691;-0.454102;-0.887695;0.823171;0.213415;-1.067073;0
44;72600;-0.021973;-0.451660;-0.868652;0.975610;-0.121951;-0.853659;0
45;74286;-0.020996;-0.446777;-0.883301;1.097561;-0.060976;-1.036585;0
46;75970;-0.027344;-0.450684;-0.893066;0.945122;-0.030488;-1.189024;0
47;77653;-0.021484;-0.446289;-0.884766;0.945122;-0.121951;-1.128049;0
