##########
# 2017-01-31 13:39:05.830945083 +0100 CET Data Acquisition
# Acquisition name: i001
# Acquisition num: 3
# Accelerometer full scale: 8 (4096)
# Gyroscope full scale: 1000 (32)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;0.009277;-0.471680;-0.887207;1.067073;-0.091463;-1.250000;0
2;1707;0.013672;-0.468262;-0.891602;1.006098;-0.182927;-0.792683;0
3;3414;0.012695;-0.464844;-0.875977;0.884146;-0.274390;-0.762195;0
4;5122;0.023438;-0.464844;-0.881836;0.975610;-0.121951;-0.975610;0
5;6826;0.018066;-0.468262;-0.875000;0.914634;0.030488;-0.823171;0
6;8587;0.014160;-0.460938;-0.881836;0.945122;-0.213415;-0.823171;0
7;10302;0.014648;-0.466309;-0.879395;0.792683;0.152439;-0.884146;0
8;12022;0.017090;-0.465332;-0.884277;1.067073;0.000000;-0.914634;0
9;13724;0.016113;-0.464844;-0.876465;0.945122;-0.091463;-0.945122;0
10;15427;0.011230;-0.466309;-0.871094;1.250000;-0.243902;-0.731707;0
11;17169;0.004395;-0.473633;-0.883301;0.792683;0.060976;-0.914634;0
12;18879;0.007324;-0.472656;-0.885742;0.884146;0.121951;-0.731707;0
13;20620;0.014648;-0.464844;-0.887695;0.670732;-0.091463;-0.853659;0
14;22326;0.018066;-0.468262;-0.890137;0.945122;0.000000;-0.914634;0
15;24022;0.019043;-0.457031;-0.875000;1.006098;0.091463;-1.097561;0
16;25722;0.016602;-0.456543;-0.887207;1.006098;-0.121951;-1.067073;0
17;27428;0.012695;-0.469238;-0.881836;1.036585;-0.365854;-0.945122;0
18;29126;0.023926;-0.469727;-0.866699;0.823171;-0.030488;-0.853659;0
19;30818;0.013184;-0.464844;-0.882324;0.975610;-0.152439;-0.670732;0
20;32512;0.006836;-0.461426;-0.872070;0.945122;-0.213415;-0.762195;0
21;34216;0.020996;-0.472656;-0.883789;1.128049;-0.060976;-0.975610;0
22;35913;0.018555;-0.461426;-0.882324;0.884146;0.000000;-0.853659;0
23;37603;0.013672;-0.466797;-0.875000;1.006098;-0.091463;-0.670732;0
24;39297;0.011719;-0.466309;-0.874512;0.945122;-0.304878;-0.792683;0
25;40990;0.011230;-0.458496;-0.886719;0.914634;0.030488;-0.914634;0
26;42683;0.008301;-0.472656;-0.871582;1.097561;0.060976;-0.823171;0
27;44385;0.010254;-0.463379;-0.880371;1.128049;0.121951;-1.036585;0
28;46081;0.018066;-0.470703;-0.893066;1.128049;0.091463;-0.884146;0
29;47775;0.007812;-0.466309;-0.885742;1.067073;-0.152439;-0.762195;0
30;49468;0.010254;-0.464355;-0.882812;0.945122;-0.091463;-0.823171;0
31;51165;0.009277;-0.463379;-0.864746;0.914634;-0.060976;-0.884146;0
32;52858;0.015137;-0.478027;-0.870605;0.823171;-0.060976;-1.006098;0
33;54553;0.012207;-0.473145;-0.864746;0.884146;0.000000;-1.036585;0
34;56246;0.012207;-0.462891;-0.889160;0.914634;-0.060976;-0.792683;0
35;57941;0.016113;-0.462891;-0.881836;0.914634;-0.121951;-0.670732;0
36;59655;0.009766;-0.466797;-0.875977;1.006098;0.121951;-0.853659;0
37;61361;0.010742;-0.469238;-0.873535;0.884146;0.030488;-0.701220;0
38;63059;0.016602;-0.462891;-0.880859;0.945122;-0.213415;-0.914634;0
39;64752;0.007812;-0.469727;-0.874023;0.975610;-0.060976;-0.914634;0
40;66446;0.013672;-0.468262;-0.876953;0.914634;-0.091463;-0.853659;0
41;68138;0.016602;-0.466309;-0.901855;1.006098;-0.091463;-0.975610;0
42;69832;0.014648;-0.476562;-0.879395;1.006098;0.060976;-1.036585;0
43;71525;0.002930;-0.466309;-0.868652;0.975610;-0.091463;-0.914634;0
44;73215;0.005859;-0.469238;-0.872070;0.884146;-0.182927;-1.006098;0
45;74913;0.006836;-0.469238;-0.873047;1.250000;-0.182927;-1.067073;0
46;76608;0.018066;-0.469727;-0.874512;0.945122;-0.030488;-1.128049;0
47;78297;0.007324;-0.461914;-0.865723;0.823171;-0.121951;-0.975610;0
48;79989;0.009766;-0.471680;-0.884766;0.762195;-0.182927;-0.945122;0
49;81682;0.004883;-0.470703;-0.893555;1.036585;0.030488;-0.884146;0
50;83375;0.014648;-0.468262;-0.887695;1.036585;0.000000;-0.975610;0
51;85070;0.009766;-0.468750;-0.882324;1.006098;0.060976;-0.884146;0
52;86765;0.009277;-0.466797;-0.873535;1.006098;0.243902;-1.128049;0
53;88454;0.020508;-0.466797;-0.858887;1.219512;0.060976;-0.945122;0
54;90151;0.016602;-0.463379;-0.872070;1.158537;0.152439;-1.128049;0
55;91843;0.018555;-0.460449;-0.882812;0.853659;0.000000;-0.792683;0
56;93538;0.006836;-0.476074;-0.882324;0.914634;0.060976;-0.701220;0
57;95244;0.018066;-0.463867;-0.881348;0.884146;-0.091463;-0.701220;0
58;96945;0.011719;-0.468750;-0.877930;0.975610;-0.091463;-1.006098;0
59;98639;0.006348;-0.473633;-0.870117;0.792683;-0.213415;-0.762195;0
60;100331;0.007812;-0.469238;-0.879395;1.036585;0.243902;-0.853659;0
61;102030;0.015137;-0.475586;-0.865723;0.914634;-0.121951;-0.884146;0
62;103727;0.007324;-0.461914;-0.879395;1.036585;-0.091463;-0.853659;0
63;105423;0.009277;-0.465332;-0.886230;1.036585;0.182927;-0.640244;0
64;107115;0.013184;-0.458984;-0.865723;1.158537;-0.121951;-0.853659;0
65;108804;0.018066;-0.464355;-0.892090;0.945122;-0.030488;-0.853659;0
66;110500;0.010742;-0.467773;-0.889648;0.792683;-0.121951;-0.792683;0
67;112194;0.014160;-0.460938;-0.869629;1.097561;0.000000;-0.670732;0
68;113886;0.008301;-0.476562;-0.883301;0.914634;0.030488;-0.975610;0
69;115577;0.005371;-0.468750;-0.878906;1.006098;0.000000;-0.945122;0
70;117272;0.013184;-0.470215;-0.878906;1.280488;0.121951;-0.945122;0
71;118961;0.014160;-0.466797;-0.877441;1.128049;0.000000;-0.701220;0
72;120654;0.012207;-0.459961;-0.881836;0.762195;0.030488;-1.006098;0
73;122345;0.013672;-0.470215;-0.866699;1.097561;0.060976;-0.853659;0
74;124037;0.009766;-0.460938;-0.871094;0.884146;-0.091463;-0.762195;0
75;125729;0.010742;-0.469727;-0.871582;1.128049;-0.060976;-0.975610;0
76;127427;0.004883;-0.474121;-0.874512;0.945122;0.060976;-0.701220;0
77;129117;0.014648;-0.465820;-0.877930;1.036585;-0.030488;-1.006098;0
78;130813;0.009766;-0.464844;-0.890137;1.097561;-0.213415;-0.853659;0
79;132506;0.015137;-0.460449;-0.876465;1.097561;0.182927;-0.884146;0
80;134254;0.012695;-0.466309;-0.873535;0.762195;-0.030488;-0.762195;0
81;135980;0.007324;-0.465332;-0.873047;1.067073;-0.121951;-0.731707;0
82;137690;0.012207;-0.470215;-0.872559;1.067073;0.152439;-1.036585;0
83;139390;0.009766;-0.467285;-0.884277;0.792683;0.152439;-0.884146;0
84;141087;0.010742;-0.465332;-0.882324;0.670732;-0.121951;-0.945122;0
85;142782;0.017578;-0.468750;-0.881836;1.189024;0.000000;-0.701220;0
86;144479;0.009277;-0.466797;-0.893066;0.853659;0.091463;-0.945122;0
87;146173;0.014160;-0.470703;-0.858887;0.945122;-0.152439;-0.914634;0
88;147867;0.021484;-0.474121;-0.866699;1.006098;-0.091463;-0.670732;0
89;149558;0.017578;-0.471191;-0.890137;1.067073;0.121951;-1.097561;0
90;151252;0.017578;-0.475586;-0.879395;0.945122;0.000000;-0.975610;0
91;152946;0.021973;-0.466309;-0.878906;0.884146;-0.091463;-0.792683;0
92;154641;0.014160;-0.467773;-0.882812;1.036585;-0.030488;-1.067073;0
93;156335;0.011230;-0.460938;-0.872070;0.975610;-0.182927;-1.067073;0
94;158032;0.018066;-0.466797;-0.883789;1.036585;-0.030488;-1.006098;0
95;159721;0.016602;-0.461914;-0.877441;1.067073;0.274390;-1.067073;0
96;161422;0.015625;-0.463379;-0.891113;0.823171;-0.213415;-1.036585;0
97;163121;0.011719;-0.467285;-0.886719;1.067073;-0.243902;-0.945122;0
98;164814;0.010742;-0.465820;-0.871094;1.097561;0.152439;-0.914634;0
99;166508;0.009766;-0.468750;-0.887695;0.823171;0.030488;-0.914634;0
100;168198;0.005859;-0.470703;-0.882812;0.853659;-0.243902;-0.823171;0
101;169894;0.015137;-0.461914;-0.885254;1.006098;0.152439;-0.853659;0
102;171589;0.008301;-0.464844;-0.876953;1.036585;0.030488;-0.853659;0
103;173286;0.013184;-0.466309;-0.866211;0.914634;0.121951;-0.945122;0
104;174980;0.018555;-0.460938;-0.874023;0.945122;0.030488;-0.884146;0
105;176674;0.007324;-0.470703;-0.877441;0.975610;-0.335366;-0.823171;0
106;178370;0.018555;-0.469238;-0.890137;1.036585;-0.060976;-0.914634;0
107;180063;0.013672;-0.465820;-0.882324;1.036585;0.060976;-0.884146;0
108;181756;0.011719;-0.472656;-0.889160;0.884146;-0.091463;-0.823171;0
109;183449;0.015625;-0.468262;-0.875000;0.914634;-0.030488;-0.701220;0
110;185143;0.019043;-0.467773;-0.882324;1.219512;0.213415;-0.884146;0
111;186837;0.004883;-0.465820;-0.881348;1.067073;0.121951;-0.853659;0
112;188533;0.018555;-0.463379;-0.892090;0.914634;-0.121951;-0.792683;0
113;190227;0.008301;-0.473633;-0.880859;1.006098;-0.121951;-0.823171;0
114;191931;0.013672;-0.465820;-0.877930;1.036585;0.030488;-0.731707;0
115;193624;0.010742;-0.464844;-0.878906;0.975610;-0.182927;-0.884146;0
116;195318;0.012695;-0.464844;-0.871094;1.036585;-0.091463;-0.853659;0
117;197011;0.008301;-0.471191;-0.889160;0.640244;-0.243902;-0.823171;0
118;198702;0.004883;-0.467773;-0.873535;0.975610;-0.182927;-0.945122;0
119;200422;0.005859;-0.469727;-0.881836;1.158537;-0.030488;-0.884146;0
120;202114;0.016602;-0.467773;-0.880371;1.158537;0.243902;-0.914634;0
121;203809;0.011230;-0.465332;-0.873535;1.219512;0.304878;-0.975610;0
122;205505;0.016113;-0.471191;-0.881836;0.884146;0.000000;-1.036585;0
123;207196;0.010254;-0.460449;-0.868652;0.731707;-0.091463;-1.036585;0
124;208888;0.013184;-0.461914;-0.894043;1.158537;0.091463;-0.853659;0
125;210581;0.017578;-0.469238;-0.867188;1.128049;0.060976;-0.884146;0
126;212277;0.007812;-0.469727;-0.880371;0.762195;0.060976;-0.823171;0
127;213970;0.011719;-0.467285;-0.888184;0.914634;-0.243902;-0.640244;0
128;215679;0.008301;-0.470215;-0.881836;1.280488;0.243902;-1.036585;0
129;217370;0.018066;-0.464844;-0.887695;1.097561;0.030488;-0.884146;0
130;219066;0.017090;-0.468750;-0.876465;1.067073;-0.213415;-0.884146;0
131;220775;0.014648;-0.469727;-0.884277;1.097561;-0.030488;-1.128049;0
132;222474;0.005859;-0.465820;-0.879395;1.097561;0.091463;-0.670732;0
133;224167;0.013184;-0.462891;-0.877441;0.945122;-0.091463;-0.731707;0
134;225915;0.010742;-0.461914;-0.892090;0.975610;-0.030488;-1.067073;0
135;227608;0.011719;-0.464355;-0.880371;1.067073;-0.030488;-0.853659;0
136;229302;0.007812;-0.463379;-0.885254;1.036585;-0.091463;-0.884146;0
137;230998;0.007812;-0.461426;-0.875488;0.914634;0.091463;-0.762195;0
138;232693;0.008301;-0.470703;-0.868652;0.853659;0.060976;-0.975610;0
139;234393;0.008301;-0.465332;-0.882324;0.884146;-0.091463;-0.945122;0
140;236089;0.003418;-0.469727;-0.882324;1.067073;0.030488;-1.036585;0
141;237784;0.013184;-0.467773;-0.882812;0.975610;0.000000;-1.219512;0
142;239472;0.008301;-0.474609;-0.880859;1.158537;-0.030488;-0.884146;0
143;241168;0.009766;-0.471191;-0.875000;1.006098;-0.152439;-0.731707;0
144;242859;0.010254;-0.459961;-0.869629;0.975610;-0.060976;-0.914634;0
145;244556;0.009766;-0.471191;-0.874512;0.792683;0.060976;-1.067073;0
146;246247;0.013184;-0.464355;-0.879883;1.128049;0.030488;-0.945122;0
147;247944;0.010254;-0.466309;-0.872559;0.945122;-0.152439;-1.067073;0
148;249635;0.007324;-0.466309;-0.872070;0.975610;-0.030488;-1.006098;0
149;251326;0.011230;-0.466797;-0.878906;1.097561;0.000000;-0.701220;0
150;253019;0.016113;-0.457031;-0.874512;0.945122;-0.060976;-0.823171;0
151;254716;0.013672;-0.465332;-0.875488;1.006098;0.030488;-0.945122;0
152;256415;0.015137;-0.468750;-0.874512;1.006098;-0.030488;-0.792683;0
153;258107;0.021973;-0.473145;-0.874023;0.884146;-0.060976;-0.762195;0
154;259798;0.015625;-0.464844;-0.875488;0.975610;-0.182927;-0.762195;0
155;261490;0.007324;-0.466797;-0.879395;0.945122;-0.030488;-0.762195;0
156;263193;0.013672;-0.471680;-0.879883;1.036585;-0.152439;-0.975610;0
157;264902;0.012207;-0.469238;-0.895996;0.853659;-0.091463;-0.914634;0
158;266608;0.013184;-0.460938;-0.861328;0.884146;0.213415;-0.975610;0
159;268306;0.010254;-0.472656;-0.873535;1.128049;0.060976;-0.975610;0
160;269995;0.018066;-0.463379;-0.871582;1.097561;-0.060976;-0.762195;0
161;271697;0.018066;-0.466309;-0.881836;0.975610;0.091463;-1.006098;0
162;273391;0.013672;-0.466797;-0.873047;1.006098;-0.060976;-0.975610;0
163;275086;0.006836;-0.465332;-0.872559;1.158537;-0.091463;-0.914634;0
164;276781;0.010742;-0.471191;-0.880859;0.914634;-0.335366;-0.670732;0
165;278480;0.011230;-0.457031;-0.887695;0.914634;-0.121951;-0.945122;0
166;280175;0.013184;-0.458008;-0.887695;0.945122;0.091463;-0.823171;0
167;281871;0.013672;-0.460449;-0.892578;1.036585;-0.091463;-0.853659;0
168;283565;0.020996;-0.470703;-0.891602;1.250000;-0.060976;-0.975610;0
169;285262;0.013184;-0.468750;-0.881836;1.128049;-0.121951;-0.762195;0
170;286954;0.005859;-0.468750;-0.883301;0.975610;0.000000;-0.884146;0
