##########
# 2017-01-31 13:42:13.585852621 +0100 CET Data Acquisition
# Acquisition name: i001
# Acquisition num: 1
# Accelerometer full scale: 8 (4096)
# Gyroscope full scale: 250 (131)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;0.012207;-0.466309;-0.869629;0.702290;0.053435;-0.809160;0
2;1678;0.016113;-0.462891;-0.886719;1.022901;-0.137405;-0.870229;0
3;3358;0.016113;-0.465820;-0.857422;1.061069;-0.061069;-0.885496;0
4;5039;0.011719;-0.470215;-0.876953;1.007634;0.030534;-0.946565;0
5;6725;0.006836;-0.467285;-0.891113;0.931298;0.175573;-0.885496;0
6;8407;0.009277;-0.473633;-0.880859;1.282443;-0.152672;-0.885496;0
7;10089;0.012695;-0.462891;-0.885742;1.129771;-0.297710;-0.770992;0
8;11769;0.018555;-0.466309;-0.876953;0.923664;0.061069;-0.595420;0
9;13447;0.003418;-0.463379;-0.879883;0.801527;0.091603;-0.870229;0
10;15128;0.003906;-0.463379;-0.879395;1.076336;-0.022901;-0.694656;0
11;16812;0.016602;-0.468750;-0.881836;1.045802;-0.099237;-0.938931;0
12;18492;0.016602;-0.478027;-0.881348;1.022901;-0.091603;-0.893130;0
13;20171;0.012695;-0.472656;-0.852539;1.091603;0.114504;-0.809160;0
14;21852;0.014160;-0.465332;-0.876953;0.984733;0.038168;-0.755725;0
15;23535;0.010742;-0.458496;-0.879883;0.885496;-0.335878;-0.931298;0
16;25215;0.010254;-0.471191;-0.871094;0.900763;-0.183206;-0.801527;0
17;26898;0.014160;-0.460938;-0.889160;0.885496;0.114504;-0.801527;0
18;28579;0.017578;-0.466797;-0.881836;0.748092;-0.190840;-0.839695;0
19;30259;0.007812;-0.464844;-0.875977;0.977099;-0.129771;-1.000000;0
20;31940;0.008301;-0.470703;-0.884766;1.137405;-0.106870;-1.045802;0
21;33814;0.012695;-0.468262;-0.880371;0.793893;-0.114504;-0.992366;0
22;35514;0.010742;-0.469238;-0.880859;1.198473;0.061069;-1.038168;0
23;37207;0.016113;-0.466309;-0.879395;1.190840;0.145038;-0.763359;0
24;38890;0.017578;-0.459961;-0.896484;0.839695;0.076336;-0.786260;0
25;40571;0.017578;-0.461914;-0.883789;0.885496;-0.358779;-1.213740;0
26;42252;0.009277;-0.466797;-0.873535;1.000000;-0.068702;-0.816794;0
27;43932;0.017578;-0.465332;-0.898926;1.106870;-0.236641;-1.007634;0
28;45612;0.007812;-0.464844;-0.892090;1.061069;-0.206107;-1.007634;0
29;47297;0.021973;-0.469238;-0.884277;0.961832;-0.068702;-0.748092;0
30;48977;0.011719;-0.460449;-0.881348;0.854962;-0.083969;-0.877863;0
31;50668;0.010742;-0.476562;-0.877930;0.854962;-0.167939;-0.854962;0
32;52371;0.011719;-0.461914;-0.885742;0.916031;-0.183206;-0.885496;0
33;54089;0.014648;-0.476074;-0.875000;1.061069;0.068702;-0.717557;0
34;55791;0.015137;-0.468262;-0.881348;0.946565;0.129771;-0.770992;0
35;57487;0.013672;-0.476074;-0.875000;1.038168;0.030534;-0.847328;0
36;59168;0.016602;-0.469238;-0.876465;0.931298;-0.145038;-1.175573;0
37;60847;0.015625;-0.469727;-0.876465;0.847328;0.038168;-0.854962;0
38;62527;0.007812;-0.467285;-0.882324;0.946565;0.068702;-0.938931;0
39;64210;0.015625;-0.463379;-0.894043;1.015267;0.061069;-1.022901;0
40;65894;0.010742;-0.465332;-0.884277;0.732824;-0.229008;-1.076336;0
41;67581;0.017578;-0.469238;-0.879883;0.938931;-0.007634;-0.877863;0
42;69260;0.012207;-0.472656;-0.877441;1.160305;-0.190840;-0.908397;0
43;70940;0.016113;-0.460938;-0.875488;1.137405;-0.083969;-0.610687;0
44;72623;0.013184;-0.467285;-0.898926;1.022901;0.198473;-0.931298;0
45;74303;0.016602;-0.464844;-0.879883;1.236641;-0.137405;-0.870229;0
46;75990;0.020020;-0.469727;-0.880371;1.099237;-0.198473;-0.908397;0
47;77684;0.018066;-0.473145;-0.885742;0.908397;0.061069;-1.015267;0
48;79368;0.008301;-0.462891;-0.875000;0.916031;-0.007634;-0.748092;0
49;81050;0.009766;-0.460449;-0.877930;1.183206;-0.122137;-0.931298;0
50;82730;0.011230;-0.461914;-0.872559;1.106870;-0.328244;-0.900763;0
51;84410;0.007324;-0.469727;-0.884277;1.015267;-0.106870;-1.099237;0
52;86092;0.010742;-0.464355;-0.874023;1.076336;0.045802;-0.618321;0
53;87774;0.014160;-0.464844;-0.881348;1.022901;0.236641;-0.839695;0
54;89455;0.010254;-0.469727;-0.877441;0.900763;-0.076336;-1.015267;0
55;91135;0.012207;-0.463867;-0.877930;1.122137;-0.175573;-0.618321;0
56;92815;0.020020;-0.473145;-0.878906;0.877863;0.129771;-0.916031;0
57;94495;0.013672;-0.463379;-0.870605;1.015267;-0.061069;-1.076336;0
58;96176;0.015625;-0.472656;-0.886230;1.061069;-0.030534;-1.022901;0
59;97859;0.021484;-0.466797;-0.868652;1.007634;-0.068702;-0.832061;0
60;99539;0.012207;-0.470215;-0.875977;1.091603;0.038168;-0.916031;0
61;101218;0.008301;-0.469727;-0.871582;1.259542;-0.099237;-0.923664;0
62;102897;0.012695;-0.471191;-0.878906;0.870229;0.068702;-0.977099;0
63;104577;0.016602;-0.461914;-0.874023;0.755725;-0.030534;-0.877863;0
64;106260;0.002930;-0.469238;-0.874023;1.022901;0.007634;-0.885496;0
65;107941;0.015137;-0.467773;-0.886230;0.977099;0.015267;-0.877863;0
66;109621;0.007324;-0.468262;-0.890625;1.198473;-0.145038;-0.938931;0
67;111300;0.012207;-0.470215;-0.862305;0.923664;0.076336;-0.954198;0
68;112979;0.015625;-0.468262;-0.873535;0.877863;0.259542;-0.862595;0
69;114658;0.015137;-0.473145;-0.873047;0.793893;-0.129771;-1.000000;0
70;116340;0.018066;-0.473145;-0.874023;1.015267;-0.015267;-0.725191;0
71;118017;0.012207;-0.470215;-0.878906;1.175573;0.030534;-0.770992;0
72;119692;0.016113;-0.471191;-0.865234;1.076336;-0.091603;-0.748092;0
73;121362;0.013672;-0.475586;-0.865723;0.893130;-0.099237;-0.694656;0
74;123035;0.011719;-0.466309;-0.872070;0.908397;-0.030534;-0.877863;0
75;124705;0.013672;-0.459473;-0.865234;0.900763;0.000000;-1.007634;0
76;126385;0.013184;-0.464844;-0.877930;0.656489;-0.122137;-1.106870;0
77;128069;0.007812;-0.466797;-0.876953;0.893130;-0.236641;-1.038168;0
78;129749;0.012207;-0.465332;-0.881348;0.992366;-0.145038;-1.000000;0
79;131431;0.019043;-0.466309;-0.890137;0.740458;-0.206107;-0.946565;0
80;133110;0.013672;-0.473633;-0.878906;1.320611;0.030534;-0.816794;0
81;134791;0.020020;-0.472656;-0.883301;1.068702;0.083969;-0.770992;0
82;136480;0.013672;-0.470215;-0.883301;0.709924;-0.183206;-0.801527;0
83;138174;0.020508;-0.467773;-0.875000;0.778626;0.076336;-0.961832;0
84;139863;0.014648;-0.479492;-0.863281;1.007634;-0.198473;-1.099237;0
85;141564;0.013184;-0.466797;-0.862305;0.839695;-0.167939;-0.877863;0
86;143248;0.015137;-0.466797;-0.871094;0.748092;0.022901;-0.916031;0
87;144929;0.008301;-0.460449;-0.880859;0.900763;0.129771;-0.809160;0
88;146610;0.015625;-0.459473;-0.888184;1.015267;0.213740;-0.732824;0
89;148296;0.015625;-0.467285;-0.887207;1.106870;-0.259542;-0.816794;0
90;149977;0.019043;-0.464355;-0.881836;1.137405;-0.213740;-0.748092;0
